feature,importance
Chi4v,2.3480726911440097e-12
fr_Ndealkylation2Density,2.3284325856298693e-12
NOCountDensity,2.3184373258017255e-12
PEOE_VSA2Density,2.307748176583191e-12
Chi4n,2.3016350110538486e-12
fr_guanidoDensity,2.2852264785350185e-12
fr_esterDensity,2.2764140832770563e-12
fr_Ndealkylation1,2.248350377404007e-12
fr_Al_COO,2.2301143137032353e-12
SMR_VSA10,2.2276349601751955e-12
fr_nitro,2.2193037338413824e-12
NumRadicalElectronsDensity,2.2153721999235154e-12
VSA_EState9,2.214623449903197e-12
NumAromaticCarbocyclesDensity,2.195260900145213e-12
fr_HOCCN,2.189141012562401e-12
MinEStateIndex,2.1713963092862e-12
fr_thiazole,2.1711929129586416e-12
PEOE_VSA4,2.149683642899136e-12
fr_alkyl_halide,2.1403937650044114e-12
fr_thiocyanDensity,2.134353891541929e-12
SPS,2.134163722480875e-12
NHOHCount,2.130695793411963e-12
PEOE_VSA3,2.1275613649313074e-12
PEOE_VSA1Density,2.119435486488963e-12
SlogP_VSA11Density,2.0818099848163296e-12
PEOE_VSA6,2.0719641280475543e-12
fr_phos_acidDensity,2.0369235811945607e-12
EState_VSA6,2.025097103897089e-12
fr_Ndealkylation1Density,2.0101201519268086e-12
Chi2v,2.007682865443061e-12
PEOE_VSA11,2.002462215142109e-12
SPSDensity,1.986898276115645e-12
NumUnspecifiedAtomStereoCenters,1.979579911451368e-12
fr_nitrile,1.9660837628082684e-12
fr_nitro_aromDensity,1.953088515568857e-12
fr_ketoneDensity,1.948209388952238e-12
BCUT2D_CHGLO,1.940333744371303e-12
fr_bicyclic,1.927865853068589e-12
fr_term_acetyleneDensity,1.917197520531766e-12
FpDensityMorgan1,1.9016307625796536e-12
fr_sulfideDensity,1.9013237165244057e-12
SMR_VSA8Density,1.895329813234037e-12
fr_C_S,1.8931843939751225e-12
fr_prisulfonamd,1.867837698746322e-12
fr_nitroDensity,1.865765354713833e-12
fr_ureaDensity,1.852767071708339e-12
fr_amide,1.851220348889071e-12
