,P3HP,PBSA,PVA,PBS,PE,P4HB,PET,PHBV,PBAT,PEG,NR,PHB,PES,PHO,LDPE,PCL,PLA
P3HP,1.0,0.55282235,0.2695155,0.600411,0.8286362,0.9902126,0.58686507,0.3322822,0.58849186,0.44818342,0.4268288,0.6600513,0.6078508,0.26149914,0.8286362,0.5261716,0.5245793
PBSA,0.55282235,1.0,0.5359239,0.9935762,0.8405248,0.5594267,0.995176,0.8871266,0.99586093,0.77883166,0.7095806,0.98984295,0.9902254,0.8220674,0.8405248,0.9873718,0.9925262
PVA,0.2695155,0.5359239,1.0,0.5363987,0.45300192,0.2599366,0.53795075,0.44911852,0.5395175,0.46119726,0.37982702,0.5198068,0.519524,0.41374013,0.45300192,0.51987386,0.5270102
PBS,0.600411,0.9935762,0.5363987,1.0,0.87770593,0.60876745,0.99900055,0.8439094,0.9989535,0.78447634,0.6788865,0.99142545,0.983815,0.7757981,0.87770593,0.9733521,0.9798697
PE,0.8286362,0.8405248,0.45300192,0.87770593,1.0,0.83274406,0.87442356,0.5631162,0.87175584,0.74527174,0.5659281,0.8834292,0.8388326,0.48980054,1.0,0.7876664,0.79934317
P4HB,0.9902126,0.5594267,0.2599366,0.60876745,0.83274406,1.0,0.5976033,0.31456846,0.5986708,0.46625397,0.3925436,0.66476804,0.6063443,0.2323238,0.83274406,0.5231266,0.52362055
PET,0.58686507,0.995176,0.53795075,0.99900055,0.87442356,0.5976033,1.0,0.8413555,0.9998141,0.79432297,0.6735907,0.98990005,0.9810503,0.77002573,0.87442356,0.9715749,0.9789079
PHBV,0.3322822,0.8871266,0.44911852,0.8439094,0.5631162,0.31456846,0.8413555,1.0,0.8467522,0.5658961,0.7793434,0.8632462,0.9122887,0.9842086,0.5631162,0.9429247,0.9330144
PBAT,0.58849186,0.99586093,0.5395175,0.9989535,0.87175584,0.5986708,0.9998141,0.8467522,1.0,0.79084265,0.6759976,0.9911525,0.98308647,0.7748406,0.87175584,0.9741185,0.9808181
PEG,0.44818342,0.77883166,0.46119726,0.78447634,0.74527174,0.46625397,0.79432297,0.5658961,0.79084265,1.0,0.49212223,0.76467127,0.7366779,0.49184296,0.74527174,0.7224014,0.7372847
NR,0.4268288,0.7095806,0.37982702,0.6788865,0.5659281,0.3925436,0.6735907,0.7793434,0.6759976,0.49212223,1.0,0.71202224,0.7458774,0.7855696,0.5659281,0.7502177,0.7445778
PHB,0.6600513,0.98984295,0.5198068,0.99142545,0.8834292,0.66476804,0.98990005,0.8632462,0.9911525,0.76467127,0.71202224,1.0,0.9936446,0.79469067,0.8834292,0.97905153,0.981899
PES,0.6078508,0.9902254,0.519524,0.983815,0.8388326,0.6063443,0.9810503,0.9122887,0.98308647,0.7366779,0.7458774,0.9936446,1.0,0.8568876,0.8388326,0.9944091,0.9946993
PHO,0.26149914,0.8220674,0.41374013,0.7757981,0.48980054,0.2323238,0.77002573,0.9842086,0.7748406,0.49184296,0.7855696,0.79469067,0.8568876,1.0,0.48980054,0.8941545,0.8823468
LDPE,0.8286362,0.8405248,0.45300192,0.87770593,1.0,0.83274406,0.87442356,0.5631162,0.87175584,0.74527174,0.5659281,0.8834292,0.8388326,0.48980054,1.0,0.7876664,0.79934317
PCL,0.5261716,0.9873718,0.51987386,0.9733521,0.7876664,0.5231266,0.9715749,0.9429247,0.9741185,0.7224014,0.7502177,0.97905153,0.9944091,0.8941545,0.7876664,1.0,0.99905497
PLA,0.5245793,0.9925262,0.5270102,0.9798697,0.79934317,0.52362055,0.9789079,0.9330144,0.9808181,0.7372847,0.7445778,0.981899,0.9946993,0.8823468,0.79934317,0.99905497,1.0
