,P3HP,PBSA,PVA,PBS,PE,P4HB,PET,PHBV,PBAT,PEG,NR,PHB,PES,PHO,LDPE,PCL,PLA
P3HP,0.0,0.44717765,0.7304845,0.399589,0.17136377,0.009787381,0.41313493,0.6677178,0.41150814,0.5518166,0.5731712,0.3399487,0.3921492,0.73850083,0.17136377,0.47382838,0.4754207
PBSA,0.44717765,0.0,0.4640761,0.0064237714,0.1594752,0.44057328,0.0048239827,0.112873375,0.0041390657,0.22116834,0.2904194,0.010157049,0.009774625,0.17793262,0.1594752,0.012628198,0.0074738264
PVA,0.7304845,0.4640761,0.0,0.4636013,0.5469981,0.7400634,0.46204925,0.5508815,0.46048248,0.53880274,0.620173,0.4801932,0.48047602,0.58625984,0.5469981,0.48012614,0.4729898
PBS,0.399589,0.0064237714,0.4636013,0.0,0.12229407,0.39123255,0.0009994507,0.15609062,0.0010464787,0.21552366,0.32111353,0.008574545,0.016184986,0.22420192,0.12229407,0.026647925,0.020130277
PE,0.17136377,0.1594752,0.5469981,0.12229407,0.0,0.16725594,0.12557644,0.4368838,0.12824416,0.25472826,0.4340719,0.11657077,0.16116738,0.5101994,0.0,0.21233362,0.20065683
P4HB,0.009787381,0.44057328,0.7400634,0.39123255,0.16725594,0.0,0.40239668,0.68543154,0.40132922,0.533746,0.6074564,0.33523196,0.39365572,0.76767623,0.16725594,0.4768734,0.47637945
PET,0.41313493,0.0048239827,0.46204925,0.0009994507,0.12557644,0.40239668,0.0,0.1586445,0.00018590689,0.20567703,0.32640928,0.010099947,0.018949687,0.22997427,0.12557644,0.028425097,0.021092117
PHBV,0.6677178,0.112873375,0.5508815,0.15609062,0.4368838,0.68543154,0.1586445,0.0,0.15324777,0.4341039,0.22065657,0.1367538,0.087711275,0.015791416,0.4368838,0.05707532,0.06698561
PBAT,0.41150814,0.0041390657,0.46048248,0.0010464787,0.12824416,0.40132922,0.00018590689,0.15324777,0.0,0.20915735,0.3240024,0.008847475,0.016913533,0.2251594,0.12824416,0.025881529,0.019181907
PEG,0.5518166,0.22116834,0.53880274,0.21552366,0.25472826,0.533746,0.20567703,0.4341039,0.20915735,0.0,0.50787777,0.23532873,0.26332211,0.508157,0.25472826,0.27759862,0.26271528
NR,0.5731712,0.2904194,0.620173,0.32111353,0.4340719,0.6074564,0.32640928,0.22065657,0.3240024,0.50787777,0.0,0.28797776,0.2541226,0.21443039,0.4340719,0.24978232,0.25542217
PHB,0.3399487,0.010157049,0.4801932,0.008574545,0.11657077,0.33523196,0.010099947,0.1367538,0.008847475,0.23532873,0.28797776,0.0,0.006355405,0.20530933,0.11657077,0.02094847,0.018100977
PES,0.3921492,0.009774625,0.48047602,0.016184986,0.16116738,0.39365572,0.018949687,0.087711275,0.016913533,0.26332211,0.2541226,0.006355405,0.0,0.14311242,0.16116738,0.0055909157,0.0053007007
PHO,0.73850083,0.17793262,0.58625984,0.22420192,0.5101994,0.76767623,0.22997427,0.015791416,0.2251594,0.508157,0.21443039,0.20530933,0.14311242,0.0,0.5101994,0.10584551,0.11765319
LDPE,0.17136377,0.1594752,0.5469981,0.12229407,0.0,0.16725594,0.12557644,0.4368838,0.12824416,0.25472826,0.4340719,0.11657077,0.16116738,0.5101994,0.0,0.21233362,0.20065683
PCL,0.47382838,0.012628198,0.48012614,0.026647925,0.21233362,0.4768734,0.028425097,0.05707532,0.025881529,0.27759862,0.24978232,0.02094847,0.0055909157,0.10584551,0.21233362,0.0,0.00094503164
PLA,0.4754207,0.0074738264,0.4729898,0.020130277,0.20065683,0.47637945,0.021092117,0.06698561,0.019181907,0.26271528,0.25542217,0.018100977,0.0053007007,0.11765319,0.20065683,0.00094503164,0.0
