,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
P3HP,-0.14173855,-0.12440204,-0.0030826947,0.0669153,0.05423176,-0.009723376,-0.15854259,-0.0021279794,0.11216674,-0.10176853,0.22902794,-0.006582019,0.023519019,0.07372545,0.15142226,0.040549606,0.055304833,-0.062199216,0.2534808,0.33918092,-0.17891051,-0.12839273,-0.10012818,0.056195658,0.022823999,0.09574283,-0.0322744,-0.18791579,-0.0061083846,-0.07958117,-0.064428285,-0.116182484,0.06495244,-0.02784765,-0.17430907,-0.06865259,-0.06604871,0.18827899,-0.02120033,-0.023406982,-0.12147623,-0.05778779,-0.08741855,0.023057092,-0.14702521,0.0018952435,0.058601014,0.20080471,0.1436074,0.05519971,0.040535763,0.04406324,0.059776478,0.022495473,0.022488583,0.012740071,-0.016569568,0.029299911,-0.29936543,-0.14590137,0.013939832,0.19350265,-0.0028338584,0.035521664
PBSA,0.021274522,-0.054464515,-0.056753837,0.18952313,0.24584492,0.039018422,0.039430793,0.11132478,-0.107481584,-0.07178916,0.07663212,0.051408034,0.24593803,-0.07121577,0.23540278,-0.12275572,0.009597223,0.025517844,0.12598386,0.2963287,-0.2512499,-0.24123259,-0.123413764,0.042569112,-0.25722778,0.028530197,0.27445266,-0.44272962,-0.13150653,-0.071877286,-0.080257475,0.13752614,0.3175083,0.1275483,-0.26761362,-0.022708993,0.19639137,0.162381,-0.0272495,-7.663884e-05,-0.31365997,0.065701514,-0.36572573,-0.26994714,-0.18265443,0.058779366,-0.040893033,0.16206488,0.23705661,0.23056448,-0.07328256,0.25526398,-0.14837144,-0.0013912771,-0.13678159,-0.06496968,-0.16794834,0.045420613,-0.08257712,-0.36689737,0.113956794,0.23021162,-0.15914506,-0.06665866
PVA,0.28948417,-0.011879623,-0.26745015,0.36308232,0.29244414,-0.47118923,-0.33771297,0.2219226,0.26371765,-0.40243843,0.21703511,-0.06842188,0.023445986,-0.15317395,0.3125524,-0.08165374,-0.7063535,0.07872395,0.18622221,0.19869882,-0.3028937,0.20345025,-0.30348372,-0.14668433,-0.5229609,0.24870552,0.040885683,-0.4693367,0.066413246,0.07415182,-0.32005006,0.20403777,0.6056552,0.08429117,-0.4931675,0.5145298,-0.12076048,-0.3855197,0.1902267,0.2712967,-0.39691162,0.007352396,-0.10746534,-0.8046083,0.06367925,-0.329668,-0.45739052,0.36899987,0.25418815,0.027790226,0.32456952,0.39917544,0.04490407,0.17437604,-0.83018273,-0.19269332,-0.5459759,0.06373333,-0.056927968,-0.36265674,0.013797065,-0.029998582,-0.083607785,-0.019500403
PBS,0.033958025,-0.061249435,-0.06802928,0.23028497,0.2697582,0.042163584,0.01483369,0.105741434,-0.10289513,-0.11369734,0.10811464,0.06004895,0.24504769,-0.029948743,0.2594003,-0.13260016,-0.001886682,-0.024958234,0.1492505,0.33321017,-0.2797028,-0.26068375,-0.13286011,0.03709274,-0.23927562,0.03134037,0.26804522,-0.43104452,-0.1592221,-0.053131744,-0.08444999,0.11331463,0.3413677,0.11910032,-0.29868808,-0.038001165,0.1991682,0.17772268,-0.04335512,0.01840943,-0.32821625,0.03252468,-0.38269305,-0.25518474,-0.1934399,0.03809558,-0.027187325,0.1834733,0.22156413,0.23626344,-0.07763309,0.25667837,-0.13524804,-0.013998923,-0.14817338,-0.018521653,-0.16711414,0.016452381,-0.106251314,-0.36348644,0.089628756,0.2784893,-0.14356178,-0.056243934
PE,-0.01686307,-0.097048245,-0.046462536,0.1513061,0.18125568,0.024047041,-0.101969294,0.067527086,0.09696741,-0.21027671,0.20771164,0.054296385,0.11643125,0.07502291,0.30784252,-0.030822689,-0.030681329,-0.14480609,0.26358062,0.42691076,-0.21493857,-0.15876733,-0.13707747,0.03959614,-0.17070861,0.046876244,0.13464087,-0.29324955,-0.07852557,-0.09094878,-0.07817694,-0.019386489,0.23159488,0.009751843,-0.3533834,-0.0264371,0.15901336,0.25084594,-0.09184727,-0.12039752,-0.23689128,0.019700697,-0.37505496,-0.04393226,-0.25470152,0.030436983,0.06438917,0.33457997,0.21306078,0.14229472,-0.035019483,0.21718206,-0.075815625,-0.066168375,-0.11738672,0.03759508,-0.11046484,-0.013327553,-0.2580255,-0.29923537,-0.07923666,0.31715384,-0.021714643,0.060536835
P4HB,-0.17376764,-0.11902978,0.013685619,0.06264371,0.046719164,-0.011544664,-0.153881,0.0009683277,0.08484704,-0.095941745,0.21959984,-0.0041165524,0.018065982,0.09147564,0.15746827,0.041050334,0.037450142,-0.0800418,0.2359572,0.33758456,-0.15019657,-0.14046456,-0.102965236,0.033071235,0.011227608,0.10367651,-0.008729052,-0.16208577,0.002668906,-0.062245548,-0.044211138,-0.08932972,0.06942532,-0.02420938,-0.15072209,-0.081342906,-0.049078755,0.18849695,-0.0052969134,-0.01988424,-0.09924985,-0.07796414,-0.0970546,-0.013369464,-0.17046888,-0.016359277,0.07738084,0.20786895,0.124231905,0.060690574,0.04246531,0.053284444,0.060294736,0.03524886,0.04199577,0.031815693,-0.020327905,0.0035230631,-0.2639335,-0.14900737,-0.0044920435,0.18710208,-0.017213052,0.033363506
PET,0.029377934,-0.06461359,-0.06250386,0.22225997,0.27018633,0.04049721,0.025333187,0.101627745,-0.10596862,-0.105791956,0.10520429,0.06806116,0.25556058,-0.036378887,0.2644212,-0.1281006,-0.014266321,-0.021623254,0.147868,0.32357296,-0.25414348,-0.25324398,-0.13454144,0.02874381,-0.2585002,0.029827295,0.2742134,-0.4365525,-0.15137088,-0.053022627,-0.08727457,0.119255655,0.33661523,0.123858824,-0.2984408,-0.035334546,0.21480495,0.18583651,-0.041203044,0.008393246,-0.31753886,0.041859653,-0.39834788,-0.27136403,-0.20820194,0.045313105,-0.02253712,0.19677405,0.22567584,0.2437425,-0.07537524,0.27086693,-0.13640328,-0.011993112,-0.15466213,-0.020290608,-0.17108223,0.014171351,-0.098275535,-0.37940457,0.09377451,0.266237,-0.14675677,-0.059221786
PHBV,0.0099394815,-0.003444496,-0.06203455,0.11531014,0.17549172,0.043615203,0.07564557,0.16463174,-0.13761047,0.04854812,-0.03728364,-0.034108505,0.16522616,-0.1912232,0.12827782,-0.15114394,0.13937537,0.22042571,0.03212137,0.15439597,-0.33031395,-0.25600913,-0.08910131,0.12614866,-0.18964161,0.029535644,0.31207848,-0.48198453,-0.11039792,-0.120423935,-0.04820743,0.2051283,0.28197175,0.11603571,-0.13370903,-0.002827261,0.06761805,0.03971657,0.051405888,0.031386957,-0.34676468,0.12887175,-0.21549089,-0.23118062,-0.049056314,0.08480145,-0.12088554,-0.005560943,0.2837646,0.18505631,-0.08529841,0.16552615,-0.20876513,0.018947668,-0.07066429,-0.23261186,-0.1573294,0.17120269,-0.0144315325,-0.28136235,0.20232025,0.13733727,-0.21207203,-0.116629235
PBAT,0.023549125,-0.06518687,-0.059493005,0.22067465,0.26562554,0.041596074,0.020239824,0.09895894,-0.10760154,-0.10457703,0.106725745,0.06662997,0.24957755,-0.038192425,0.26225343,-0.131852,-0.0142361205,-0.006592878,0.14560884,0.31600156,-0.25445572,-0.24800715,-0.13372979,0.029520834,-0.2531222,0.028236315,0.27659395,-0.43747768,-0.14579493,-0.05136721,-0.08595979,0.115146585,0.3336246,0.12373599,-0.29470548,-0.0361741,0.20675111,0.18358701,-0.038125355,0.009111616,-0.31745616,0.041822165,-0.3904989,-0.27264678,-0.20508969,0.045042552,-0.02284186,0.19080558,0.2268543,0.24234425,-0.07242789,0.26591465,-0.13261713,-0.008379889,-0.15044847,-0.02435663,-0.17263296,0.019897388,-0.103162766,-0.37217686,0.099538475,0.26744816,-0.147498,-0.062479965
PEG,0.06681566,0.1304822,-0.2952352,0.23214944,0.15160745,0.04799415,-0.19886117,0.07045067,0.12645108,-0.2570132,0.3342683,0.18918245,0.28114724,-0.20976506,0.29977116,-0.101926,-0.10531032,-0.053547278,0.2447321,0.39453074,0.007139458,-0.34531257,-0.08474107,0.12764616,-0.43550947,-0.1518037,0.21847403,-0.3766939,0.105428524,0.0031202303,-0.2737544,0.038016852,0.683845,0.46683314,-0.24544245,-0.18233691,0.7191093,0.22746062,-0.08646056,0.27887386,0.02452081,0.20482484,-0.84452885,-0.28730664,-0.3306728,0.15573166,0.08249223,0.28368208,0.43727136,-0.013950009,-0.28943837,0.6073243,-0.00142122,-0.064525075,-0.3340551,-0.06466478,-0.1793628,-0.25163347,-0.12453611,-0.7913812,-0.07806148,0.20367157,-0.14222169,0.02876725
NR,0.2827491,-0.17395496,-0.17360818,-0.062213328,0.09294475,-0.10334111,-0.19438623,0.6925903,0.040740095,-0.25673082,-0.3559382,-0.0036530225,0.31260356,-0.3724855,0.2599306,0.24251772,0.33788952,0.27191556,0.29930937,0.48095492,-0.41030857,-0.34760255,-0.36752072,0.64893734,-0.39121765,-0.04986408,0.38517836,-0.88029903,-0.07659235,-0.25980404,-0.16439745,0.25253958,0.21318331,0.046689454,-0.48877466,-0.18082412,0.08291858,-0.06876069,-0.020961074,0.017709345,-0.4137105,0.19184521,-0.17042178,-0.26743922,-0.0995718,0.23884366,0.0022818719,0.060657028,0.23840976,-0.011235467,-0.11255325,0.35974026,-0.21849532,-0.12428841,0.07721947,-0.27207834,-0.12711816,0.55287516,-0.16680285,-0.3994061,0.09867132,0.1826883,-0.31454858,0.03179583
PHB,-0.02073923,-0.0700817,-0.0421897,0.16112004,0.19985232,0.02887312,-0.007136584,0.08290979,-0.066386476,-0.07103743,0.108174816,0.03211468,0.17855701,-0.038034365,0.21500966,-0.0902151,0.032240428,0.011623473,0.15153766,0.28457737,-0.23631327,-0.22548498,-0.11754583,0.053023484,-0.18252699,0.046567436,0.21567453,-0.3859094,-0.10738995,-0.06904893,-0.07471496,0.08454449,0.25739166,0.08313123,-0.22700709,-0.03890946,0.12380635,0.16123983,-0.011502942,0.008401984,-0.26882148,0.032966733,-0.29046828,-0.2001406,-0.16810289,0.04179068,-0.018367032,0.16172747,0.2167891,0.18660182,-0.04787038,0.19784334,-0.100851364,0.0016147194,-0.095846735,-0.048220154,-0.1279457,0.04181083,-0.12475481,-0.30551377,0.08958255,0.21853197,-0.12758616,-0.049185425
PES,-0.006566366,-0.05140284,-0.053087063,0.15817064,0.19859518,0.031575326,0.009392729,0.10727108,-0.07496797,-0.05716903,0.077592045,0.01401943,0.17734918,-0.06657084,0.20101964,-0.1065939,0.05266889,0.04949091,0.12751023,0.2721533,-0.27323103,-0.23864722,-0.11239145,0.06934219,-0.18004853,0.042709753,0.23016241,-0.40387025,-0.11396741,-0.080794655,-0.06550963,0.10613593,0.2717753,0.090698935,-0.2218961,-0.032331783,0.11040952,0.13156688,-0.004683439,0.012712666,-0.2919806,0.0503743,-0.2801772,-0.20047796,-0.14245729,0.047257274,-0.040505223,0.13418758,0.22995724,0.18879741,-0.059919655,0.19038041,-0.12982704,0.0033995737,-0.091985784,-0.08461166,-0.13696907,0.06753592,-0.103343345,-0.30094355,0.11129552,0.21182638,-0.14215972,-0.059939142
PHO,0.07321423,0.036531024,-0.10686901,0.102221124,0.17776577,0.044625174,0.11160427,0.22094104,-0.11969783,0.051564638,-0.11654019,-0.08560998,0.13669191,-0.24808702,0.13324116,-0.16119999,0.20541404,0.2459859,0.008088471,0.14792854,-0.42359892,-0.32152617,-0.07986193,0.179403,-0.17699018,0.029704586,0.30125296,-0.5217351,-0.1487673,-0.16399145,-0.036418103,0.2509118,0.31228617,0.102973856,-0.14412843,0.020742163,0.029512027,-0.020604325,0.049427476,0.0434518,-0.39194536,0.1652929,-0.21912655,-0.1899139,-0.0058464557,0.095140755,-0.15695196,-0.014600507,0.32386297,0.17718427,-0.119052365,0.14877976,-0.31039628,-0.0039700437,-0.082646616,-0.30434576,-0.15418893,0.20078383,0.034044474,-0.2695086,0.21667457,0.13063933,-0.224484,-0.11592492
LDPE,-0.01686307,-0.097048245,-0.046462536,0.1513061,0.18125568,0.024047041,-0.101969294,0.067527086,0.09696741,-0.21027671,0.20771164,0.054296385,0.11643125,0.07502291,0.30784252,-0.030822689,-0.030681329,-0.14480609,0.26358062,0.42691076,-0.21493857,-0.15876733,-0.13707747,0.03959614,-0.17070861,0.046876244,0.13464087,-0.29324955,-0.07852557,-0.09094878,-0.07817694,-0.019386489,0.23159488,0.009751843,-0.3533834,-0.0264371,0.15901336,0.25084594,-0.09184727,-0.12039752,-0.23689128,0.019700697,-0.37505496,-0.04393226,-0.25470152,0.030436983,0.06438917,0.33457997,0.21306078,0.14229472,-0.035019483,0.21718206,-0.075815625,-0.066168375,-0.11738672,0.03759508,-0.11046484,-0.013327553,-0.2580255,-0.29923537,-0.07923666,0.31715384,-0.021714643,0.060536835
