tsne_1,tsne_2
395.2091,-70.40588
11.595435,-68.055466
484.9477,-197.64853
89.4808,265.77567
-479.2297,331.66434
234.64062,-28.761675
-245.95735,-283.88235
-28.877018,272.8543
-169.66515,-176.5381
99.0413,-225.34117
-498.80026,188.93066
223.51111,90.97117
-383.179,-329.3482
-118.00366,73.95927
-479.2297,331.66434
4.2360196,50.78751
399.85815,60.539097
