umap_1,umap_2
24.076176,3.1575832
22.920359,4.453963
24.660362,3.104528
23.455612,4.0715904
24.648327,5.3660183
24.31718,3.789154
22.912739,3.3144286
23.358864,4.8511543
22.422619,4.0889673
23.99026,4.4338474
24.157452,5.747987
23.479881,3.082913
22.366085,3.2971423
23.262018,5.5166955
24.697998,5.926972
22.689207,5.091289
24.10977,2.500306
