Name,SMILES
ECOFLEX,[H]c1c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)c2c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)c3c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)c4c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)c5c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)c6c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC(=O)C([H])([H])[H])c([H])c6[H])c([H])c5[H])c([H])c4[H])c([H])c3[H])c([H])c2[H])c([H])c([H])c1C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OOC(=O)C([H])([H])[H]
O-PVA,[H]OC([H])(C([H])([H])C([H])(O[H])C([H])([H])C([H])(O[H])C([H])([H])C([H])(O[H])C([H])([H])C([H])(O[H])C([H])([H])C([H])(C(=O)OC([H])([H])[H])C([H])([H])C([H])=O)C([H])([H])C([H])(O[H])C([H])([H])C([H])(O[H])C([H])([H])C([H])(O[H])C([H])([H])C([H])(O[H])C([H])([H])S(=O)(=O)O[H]
PBSA,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H]
