feature,importance
Ipc,543352913920.0
fr_isocyanDensity,263678656512.0
VSA_EState2Density,263146209280.0
fr_aryl_methyl,262903988224.0
NumSaturatedRingsDensity,247915429888.0
EState_VSA3Density,245374451712.0
EState_VSA6,238003290112.0
fr_unbrch_alkaneDensity,237874905088.0
MinAbsEStateIndex,233795780608.0
fr_anilineDensity,232743665664.0
fr_amide,225570177024.0
fr_benzene,224069402624.0
ExactMolWt,222217404416.0
SlogP_VSA9,222188453888.0
EState_VSA2,220945055744.0
fr_isothiocyanDensity,220358443008.0
NumAliphaticRingsDensity,219724283904.0
fr_COO2Density,218805895168.0
SMR_VSA5Density,215370235904.0
fr_Al_COO,213621751808.0
AvgIpcDensity,212062830592.0
LabuteASADensity,209847369728.0
SMR_VSA6,208621862912.0
Chi2v,207298166784.0
BCUT2D_MRHI,205608910848.0
fr_amidine,205172178944.0
fr_ketoneDensity,204855508992.0
PEOE_VSA11,203313709056.0
fr_N_O,199572865024.0
EState_VSA2Density,195528376320.0
fr_piperzine,193423966208.0
fr_prisulfonamdDensity,191853248512.0
PEOE_VSA8,190964121600.0
MinAbsEStateIndexDensity,187732115456.0
MinEStateIndex,184752898048.0
fr_thiopheneDensity,183492853760.0
NumHeteroatoms,182005727232.0
fr_lactoneDensity,181190066176.0
fr_oximeDensity,179982499840.0
NumSaturatedCarbocycles,179840548864.0
fr_phenol_noOrthoHbondDensity,179638894592.0
EState_VSA11Density,179023822848.0
fr_Al_OH,178456117248.0
HeavyAtomMolWtDensity,176410198016.0
fr_HOCCNDensity,174982234112.0
fr_alkyl_halideDensity,170803052544.0
fr_C_SDensity,167746797568.0
fr_azideDensity,166336233472.0
NumRadicalElectrons,165715918848.0
fr_sulfone,164888772608.0
fr_hdrzone,163495837696.0
NumUnspecifiedAtomStereoCentersDensity,162577760256.0
fr_alkyl_carbamateDensity,160832012288.0
SlogP_VSA3Density,160064716800.0
fr_alkyl_halide,159650791424.0
PEOE_VSA1,157948231680.0
Kappa3,156590145536.0
fr_bicyclicDensity,154638024704.0
fr_oxazoleDensity,154612711424.0
fr_Ar_NHDensity,153642303488.0
Chi3n,151154311168.0
NumAliphaticCarbocycles,151044276224.0
fr_phos_acidDensity,148707753984.0
Kappa1,148466892800.0
SPS,148224966656.0
NumAmideBonds,147892666368.0
fr_aldehyde,147655327744.0
fr_thiophene,145800921088.0
ExactMolWtDensity,145725636608.0
fr_azoDensity,145449402368.0
MolWt,145414242304.0
fr_nitrosoDensity,145258708992.0
fr_sulfonamdDensity,145229283328.0
fr_aniline,145148395520.0
LabuteASA,142898823168.0
NumAtomStereoCenters,142050689024.0
SMR_VSA3Density,140846907392.0
SlogP_VSA12Density,140567511040.0
Chi3v,140145164288.0
fr_piperdine,138865737728.0
MolMR,137065193472.0
fr_Al_OH_noTertDensity,136486977536.0
SMR_VSA8,135863762944.0
SlogP_VSA2,135540113408.0
fr_Imine,135184441344.0
fr_Ar_COODensity,134532259840.0
SMR_VSA2Density,134042312704.0
fr_etherDensity,133856854016.0
PEOE_VSA2,133317410816.0
fr_ArNDensity,133170536448.0
fr_isothiocyan,133000372224.0
fr_isocyan,130338504704.0
EState_VSA6Density,130043314176.0
EState_VSA3,129493426176.0
fr_guanido,128174432256.0
fr_Ar_NDensity,127413878784.0
VSA_EState10,127238520832.0
BCUT2D_MWLOWDensity,126953308160.0
fr_piperdineDensity,126004846592.0
fr_Ar_OHDensity,125763076096.0
fr_para_hydroxylationDensity,125367951360.0
fr_Al_OHDensity,125191266304.0
BCUT2D_CHGLODensity,124901818368.0
PEOE_VSA14,124525830144.0
NumSaturatedRings,124412436480.0
fr_unbrch_alkane,124306948096.0
fr_tetrazole,123032903680.0
SlogP_VSA4Density,121985630208.0
SlogP_VSA7,121894887424.0
PhiDensity,121216991232.0
PEOE_VSA1Density,120600420352.0
fr_C_ODensity,119565754368.0
VSA_EState6Density,119501807616.0
fr_Ndealkylation1Density,117782126592.0
fr_phos_ester,117467078656.0
fr_C_O_noCOO,116669497344.0
fr_NH2,116041474048.0
PEOE_VSA3,115912056832.0
SlogP_VSA3,114960719872.0
fr_nitro_arom_nonorthoDensity,114896699392.0
fr_Ar_OH,114577047552.0
fr_tetrazoleDensity,114251038720.0
fr_allylic_oxid,113647321088.0
fr_phenol_noOrthoHbond,112908533760.0
NumSpiroAtoms,112473317376.0
FpDensityMorgan2,112314744832.0
NumAliphaticRings,111876210688.0
NumSaturatedHeterocycles,109751918592.0
fr_priamideDensity,109375004672.0
PEOE_VSA13,109197238272.0
SlogP_VSA2Density,109183959040.0
SlogP_VSA5Density,108650881024.0
NumHAcceptorsDensity,108475351040.0
NumHeteroatomsDensity,108429885440.0
PEOE_VSA14Density,105977233408.0
Chi0n,105724878848.0
BCUT2D_LOGPLOW,104097087488.0
BCUT2D_CHGHI,103269908480.0
VSA_EState9Density,103234633728.0
MaxAbsPartialCharge,101212299264.0
NumAromaticCarbocycles,101150851072.0
fr_quatN,101101846528.0
Kappa2,100669825024.0
fr_phos_acid,100391862272.0
TPSA,99739959296.0
fr_oxazole,99104694272.0
fr_lactam,98935341056.0
EState_VSA10Density,98722545664.0
fr_dihydropyridine,96650534912.0
MinEStateIndexDensity,96098287616.0
fr_imidazole,96058875904.0
MolWtDensity,95329026048.0
fr_N_ODensity,94723260416.0
PEOE_VSA10Density,93460660224.0
SMR_VSA7,93336698880.0
fr_imide,92777267200.0
NumHeterocyclesDensity,92648251392.0
SlogP_VSA6,90718781440.0
Chi1v,90320510976.0
VSA_EState8,90025312256.0
HallKierAlpha,88225472512.0
fr_allylic_oxidDensity,87606067200.0
BCUT2D_MRLOWDensity,87427137536.0
NumSaturatedCarbocyclesDensity,87412686848.0
fr_imideDensity,86589407232.0
BCUT2D_MRHIDensity,85982887936.0
VSA_EState8Density,84902871040.0
NumAliphaticHeterocycles,84736966656.0
fr_ketone_Topliss,84705075200.0
fr_morpholine,84460986368.0
PEOE_VSA5,83691388928.0
fr_NH0Density,82550956032.0
fr_nitroDensity,82024300544.0
BalabanJ,81471823872.0
fr_thiocyan,80421961728.0
VSA_EState5,80162365440.0
VSA_EState3,80134234112.0
SlogP_VSA8Density,80019841024.0
VSA_EState1,79280750592.0
BCUT2D_LOGPHI,78798594048.0
VSA_EState4,78420312064.0
