feature,importance
fr_nitroso,77603823616.0
NumAtomStereoCentersDensity,77527760896.0
fr_NhpyrroleDensity,77451706368.0
fr_imidazoleDensity,77415022592.0
BCUT2D_LOGPLOWDensity,76971081728.0
EState_VSA5,75932712960.0
fr_priamide,75783520256.0
PEOE_VSA9Density,75661549568.0
fr_Al_COODensity,75033321472.0
fr_piperzineDensity,74377060352.0
PEOE_VSA5Density,74140983296.0
fr_NH0,74133299200.0
NumBridgeheadAtomsDensity,73416794112.0
fr_epoxideDensity,73157394432.0
SMR_VSA6Density,72398708736.0
SPSDensity,72257937408.0
fr_COO,72155783168.0
fr_nitrile,72057331712.0
VSA_EState4Density,70608093184.0
fr_Ar_N,70421651456.0
fr_NH2Density,70258360320.0
fr_COO2,69517803520.0
fr_sulfideDensity,69304262656.0
EState_VSA1Density,69247705088.0
MinAbsPartialCharge,68959109120.0
EState_VSA10,68447473664.0
Chi1,67755966464.0
fr_quatNDensity,67290128384.0
PEOE_VSA4,67058315264.0
NumValenceElectrons,66670288896.0
EState_VSA4Density,66465280000.0
fr_NH1,66215231488.0
fr_Al_OH_noTert,66190536704.0
EState_VSA4,65934700544.0
fr_nitro_aromDensity,65800568832.0
VSA_EState6,65296625664.0
fr_methoxy,64557359104.0
VSA_EState7,64351289344.0
VSA_EState3Density,64194822144.0
VSA_EState1Density,64174977024.0
FpDensityMorgan3,63984893952.0
SMR_VSA5,63548313600.0
fr_amideDensity,63547281408.0
SMR_VSA2,63393906688.0
MaxAbsEStateIndex,63253168128.0
qedDensity,63198011392.0
fr_phos_esterDensity,63129874432.0
EState_VSA7,62353113088.0
SlogP_VSA7Density,61663535104.0
fr_benzodiazepine,61184425984.0
fr_guanidoDensity,61141696512.0
fr_ArN,59717419008.0
fr_ureaDensity,59172274176.0
SlogP_VSA1Density,58666242048.0
VSA_EState2,58607243264.0
fr_C_O,58123436032.0
NHOHCount,57801555968.0
BertzCT,57624743936.0
fr_Ar_COO,57592872960.0
BCUT2D_MWHI,56474386432.0
SMR_VSA1,56438923264.0
fr_pyridineDensity,56243462144.0
fr_ketone,55442337792.0
SMR_VSA3,54701203456.0
fr_halogen,53893492736.0
HeavyAtomMolWt,53668413440.0
NOCountDensity,53251055616.0
NumAliphaticHeterocyclesDensity,53227290624.0
fr_pyridine,53004386304.0
PEOE_VSA4Density,52980625408.0
SMR_VSA9Density,52070678528.0
SlogP_VSA5,51940827136.0
fr_Nhpyrrole,51780046848.0
fr_phenolDensity,51723452416.0
fr_oxime,51715637248.0
MaxPartialCharge,51678711808.0
Chi1n,51618238464.0
FractionCSP3,51418185728.0
NumAromaticRings,51351162880.0
MolLogP,51135717376.0
AvgIpc,50788896768.0
HeavyAtomCount,50513698816.0
fr_sulfoneDensity,50368368640.0
fr_lactamDensity,49726349312.0
PEOE_VSA9,49683886080.0
NumAromaticRingsDensity,49513451520.0
fr_ImineDensity,49442320384.0
NumSaturatedHeterocyclesDensity,49170776064.0
fr_azo,49134280704.0
fr_urea,48820338688.0
SMR_VSA10,48697262080.0
Chi4n,48593924096.0
fr_morpholineDensity,48479256576.0
NumAromaticHeterocycles,47938879488.0
MinPartialCharge,46037786624.0
SlogP_VSA11Density,45990510592.0
NumHAcceptors,45495099392.0
SlogP_VSA11,45343358976.0
Chi4v,44929798144.0
PEOE_VSA12,44117958656.0
PEOE_VSA12Density,44111380480.0
BCUT2D_MWHIDensity,44036481024.0
fr_dihydropyridineDensity,43870375936.0
VSA_EState7Density,43577774080.0
NHOHCountDensity,43498393600.0
PEOE_VSA6,43492851712.0
Phi,43245297664.0
RingCount,42687062016.0
SMR_VSA4Density,42408689664.0
fr_aryl_methylDensity,41554468864.0
fr_ether,41552805888.0
Chi2n,41039892480.0
fr_furanDensity,40622211072.0
PEOE_VSA7,40469745664.0
NumHDonors,40114212864.0
NumAmideBondsDensity,40102875136.0
fr_Ndealkylation1,39980421120.0
BCUT2D_LOGPHIDensity,39868444672.0
Chi0,39697920000.0
MaxAbsEStateIndexDensity,39370993664.0
NumAromaticCarbocyclesDensity,39007633408.0
fr_benzodiazepineDensity,38789566464.0
SlogP_VSA12,38735142912.0
fr_SH,38556741632.0
EState_VSA9,38119403520.0
PEOE_VSA7Density,37202685952.0
SMR_VSA1Density,36987637760.0
PEOE_VSA13Density,36151037952.0
SMR_VSA9,36102389760.0
fr_ester,35369902080.0
fr_Ndealkylation2Density,34663587840.0
fr_nitro,34572648448.0
NumSpiroAtomsDensity,34138750976.0
fr_C_S,33946720256.0
fr_COODensity,31866234880.0
fr_amidineDensity,31789266944.0
NumHeterocycles,30802223104.0
fr_NH1Density,30561654784.0
fr_barbitur,30560804864.0
fr_azide,30424201216.0
fr_thiazole,30400819200.0
NumRotatableBondsDensity,30358661120.0
PEOE_VSA11Density,30283816960.0
RingCountDensity,30074193920.0
BCUT2D_CHGLO,29898971136.0
fr_nitro_arom,28209616896.0
EState_VSA8,27972130816.0
EState_VSA9Density,27736131584.0
fr_hdrzoneDensity,27679125504.0
fr_Ar_NH,27564630016.0
NumRadicalElectronsDensity,27456985088.0
EState_VSA1,27015804928.0
NumRotatableBonds,26565582848.0
VSA_EState10Density,25759637504.0
BCUT2D_CHGHIDensity,25390415872.0
SlogP_VSA10Density,25059479552.0
fr_nitro_arom_nonortho,24626282496.0
BCUT2D_MRLOW,24441335808.0
NumAliphaticCarbocyclesDensity,24312616960.0
VSA_EState5Density,24143224832.0
fr_halogenDensity,24012224512.0
NumAromaticHeterocyclesDensity,23957565440.0
fr_C_O_noCOODensity,22927147008.0
EState_VSA7Density,22918268928.0
Chi0v,22756384768.0
fr_prisulfonamd,22552639488.0
SlogP_VSA8,21478932480.0
SMR_VSA10Density,21189847040.0
fr_epoxide,20938973184.0
EState_VSA11,20514500608.0
TPSADensity,20083783680.0
fr_diazoDensity,19968460800.0
fr_Ndealkylation2,19903387648.0
NumBridgeheadAtoms,19774377984.0
fr_phenol,19630931968.0
VSA_EState9,19074117632.0
BCUT2D_MWLOW,18919118848.0
PEOE_VSA3Density,18310916096.0
SMR_VSA4,18281957376.0
NumValenceElectronsDensity,17611620352.0
fr_nitrileDensity,16450007040.0
fr_barbiturDensity,15850459136.0
MaxEStateIndex,15760640000.0
EState_VSA5Density,15484514304.0
NOCount,14900424704.0
PEOE_VSA10,14582878208.0
fr_thiocyanDensity,14329095168.0
SlogP_VSA9Density,14000501760.0
PEOE_VSA8Density,13722457088.0
fr_diazo,13690306560.0
fr_term_acetyleneDensity,13627878400.0
fr_bicyclic,13104693248.0
fr_thiazoleDensity,13034361856.0
fr_aldehydeDensity,12697325568.0
SlogP_VSA6Density,11296083968.0
fr_para_hydroxylation,11062767616.0
fr_ketone_ToplissDensity,10985729024.0
NumHDonorsDensity,10425184256.0
fr_term_acetylene,10075918336.0
EState_VSA8Density,9892230144.0
fr_furan,9592364032.0
fr_sulfide,9320726528.0
fr_SHDensity,8800602112.0
NumUnspecifiedAtomStereoCenters,8526923776.0
fr_lactone,8250257920.0
FpDensityMorgan1,7538646016.0
fr_esterDensity,7375900672.0
fr_hdrzineDensity,6681416192.0
SlogP_VSA10,6456559616.0
PEOE_VSA6Density,6048616960.0
SMR_VSA8Density,5594269696.0
SlogP_VSA4,4629130240.0
fr_methoxyDensity,4179080448.0
SlogP_VSA1,4130933504.0
fr_hdrzine,2696979456.0
FractionCSP3Density,2506646272.0
fr_alkyl_carbamate,2299302656.0
SMR_VSA7Density,1956814848.0
PEOE_VSA2Density,974774400.0
fr_HOCCN,727584000.0
qed,699613824.0
fr_sulfonamd,642552832.0
fr_benzeneDensity,63542420.0
MaxEStateIndexDensity,29557046.0
