,Impranil,P(3HB-co-3MP),ECOFLEX,PCL,PLA,O-PVA,PMCL,PHO,PHBH,LDPE,PPL,PEA,P4HB,PHBV,PBSeT,PET,PHBVH,NR,PBAT,PEG,PEF,PHV,PES,PHB,Nylon,P3HP,PE,PBSA,PVA,PBS,PS,PA,PHPV,PU
Impranil,1.0,0.2552208,0.44572935,0.72125167,0.4101226,0.3080048,0.5941643,0.7200447,0.25442126,0.4711379,0.4101226,0.24365924,0.3074897,0.3155494,0.30700967,0.54193604,0.3178002,0.5237597,0.50827116,0.38465217,0.39291877,0.25460055,0.50138086,0.31533507,0.7019006,0.36951363,0.4711379,0.5399306,0.29802218,0.5140293,0.40025273,0.7019006,0.31484473,0.7883896
P(3HB-co-3MP),0.2552208,1.0,-0.10820023,0.63366765,0.35517833,0.58534276,0.8588728,0.36918864,0.99999803,0.30665702,0.35517833,0.5450833,0.632264,0.8593081,-0.30562183,0.06606539,0.81220144,-0.08223444,0.012762439,0.5034033,-0.031845167,0.99999845,0.39597738,0.6322675,0.1002826,0.38396198,0.30665702,0.13118435,0.5953562,0.098805435,-0.029832805,0.1002826,0.6323877,0.162378
ECOFLEX,0.44572935,-0.10820023,1.0,0.51864403,0.65587306,0.3294047,0.29344732,0.6274505,-0.10850198,0.62957287,0.65587306,0.3697649,0.41735592,0.22581019,0.9434314,0.89194727,0.276681,0.6270838,0.9724283,0.46222204,0.8844426,-0.10817482,0.71072346,0.42409086,0.46866944,0.60734653,0.62957287,0.91521204,0.3348882,0.92563987,0.5383746,0.46866944,0.423623,0.65719855
PCL,0.72125167,0.63366765,0.51864403,1.0,0.7516262,0.6903166,0.9400149,0.945025,0.6334543,0.6913392,0.7516262,0.67985594,0.7477275,0.77157414,0.26083648,0.69687074,0.774366,0.52946866,0.6466995,0.7478039,0.5706546,0.6336613,0.856653,0.7529525,0.5402897,0.7359388,0.6913392,0.7427113,0.70582324,0.7072538,0.5105289,0.5402897,0.75267345,0.70493805
PLA,0.4101226,0.35517833,0.65587306,0.7516262,1.0,0.79190725,0.6440641,0.80596143,0.35565084,0.8240686,1.0,0.87256485,0.93091303,0.77100104,0.4059466,0.8730518,0.8200401,0.52396023,0.79994255,0.8952346,0.838399,0.3559556,0.95839536,0.9330304,0.6230436,0.99626493,0.8240686,0.86991304,0.8185346,0.86533207,0.67112327,0.6230436,0.9328622,0.76166517
O-PVA,0.3080048,0.58534276,0.3294047,0.6903166,0.79190725,1.0,0.7056149,0.6325313,0.5859647,0.63467735,0.79190725,0.88838243,0.87491125,0.8356331,0.089213595,0.5596744,0.8548088,0.09159724,0.48582813,0.86376476,0.48519257,0.5861175,0.7961133,0.87386364,0.37264726,0.8155105,0.63467735,0.58711404,0.9943793,0.56987673,0.24817717,0.37264726,0.8739414,0.4966098
PMCL,0.5941643,0.8588728,0.29344732,0.9400149,0.6440641,0.7056149,1.0,0.78587246,0.8587205,0.5885953,0.6440641,0.68159044,0.7637968,0.8823337,0.03825214,0.48515427,0.8626506,0.31920087,0.42950338,0.70738924,0.35776627,0.85885376,0.73467016,0.76729286,0.39989245,0.6460645,0.5885953,0.5444856,0.72038466,0.5067242,0.32494557,0.39989245,0.7671601,0.5357549
PHO,0.7200447,0.36918864,0.6274505,0.945025,0.80596143,0.6325313,0.78587246,1.0,0.36908668,0.726003,0.80596143,0.65368736,0.6970074,0.6208293,0.37449992,0.8114086,0.6468864,0.67104256,0.752357,0.74090016,0.706492,0.36933386,0.89560384,0.7024499,0.62059987,0.78133684,0.726003,0.83283323,0.65218204,0.80379647,0.6629509,0.62059987,0.70211387,0.78214926
PHBH,0.25442126,0.99999803,-0.10850198,0.6334543,0.35565084,0.5859647,0.8587205,0.36908668,1.0,0.30728704,0.35565084,0.546081,0.6328857,0.8597122,-0.30602664,0.0662381,0.8126604,-0.08220735,0.012658253,0.50386465,-0.031529404,1.0,0.3963596,0.6328684,0.10027395,0.3845654,0.30728704,0.13123435,0.596066,0.09889162,-0.029426124,0.10027395,0.63298976,0.16231626
LDPE,0.4711379,0.30665702,0.62957287,0.6913392,0.8240686,0.63467735,0.5885953,0.726003,0.30728704,1.0,0.8240686,0.8485261,0.7652907,0.63845927,0.4412272,0.86998034,0.6768419,0.7020958,0.7583513,0.7383891,0.8539708,0.30752915,0.87927854,0.7655879,0.6301173,0.83123845,0.99999994,0.84004325,0.6877804,0.84149903,0.7458439,0.6301173,0.7655103,0.7812842
PPL,0.4101226,0.35517833,0.65587306,0.7516262,1.0,0.79190725,0.6440641,0.80596143,0.35565084,0.8240686,1.0,0.87256485,0.93091303,0.77100104,0.4059466,0.8730518,0.8200401,0.52396023,0.79994255,0.8952346,0.838399,0.3559556,0.95839536,0.9330304,0.6230436,0.99626493,0.8240686,0.86991304,0.8185346,0.86533207,0.67112327,0.6230436,0.9328622,0.76166517
PEA,0.24365924,0.5450833,0.3697649,0.67985594,0.87256485,0.88838243,0.68159044,0.65368736,0.546081,0.8485261,0.87256485,1.0,0.941503,0.86098814,0.12131746,0.6760748,0.89030254,0.3582863,0.5478735,0.871802,0.6455695,0.5462524,0.8721518,0.9387393,0.4528623,0.90583277,0.8485261,0.6693519,0.9275962,0.66225356,0.535251,0.4528623,0.9388916,0.5769891
P4HB,0.3074897,0.632264,0.41735592,0.7477275,0.93091303,0.87491125,0.7637968,0.6970074,0.6328857,0.7652907,0.93091303,0.941503,1.0,0.9394849,0.15011297,0.68220466,0.965417,0.3264611,0.5868558,0.90698963,0.6365129,0.633111,0.8856008,0.99991906,0.49870795,0.9494318,0.7652907,0.69221234,0.90269744,0.6820281,0.51161814,0.49870795,0.99992853,0.61582065
PHBV,0.3155494,0.8593081,0.22581019,0.77157414,0.77100104,0.8356331,0.8823337,0.6208293,0.8597122,0.63845927,0.77100104,0.86098814,0.9394849,1.0,-0.03768566,0.47774616,0.99630314,0.17592238,0.391257,0.82086474,0.4043396,0.85986215,0.75771135,0.9394557,0.3729985,0.7958463,0.63845927,0.5129283,0.85819554,0.49198815,0.32247493,0.3729985,0.93951327,0.4774488
PBSeT,0.30700967,-0.30562183,0.9434314,0.26083648,0.4059466,0.089213595,0.03825214,0.37449992,-0.30602664,0.4412272,0.4059466,0.12131746,0.15011297,-0.03768566,1.0,0.7347845,0.009258565,0.5199544,0.852674,0.21042825,0.7551829,-0.30575448,0.46627802,0.15646692,0.29987583,0.35382575,0.4412272,0.7501161,0.08701827,0.7721665,0.3813715,0.29987583,0.15601633,0.4710634
PET,0.54193604,0.06606539,0.89194727,0.69687074,0.8730518,0.5596744,0.48515427,0.8114086,0.0662381,0.86998034,0.8730518,0.6760748,0.68220466,0.47774616,0.7347845,1.0,0.5344333,0.74107635,0.9673209,0.71083236,0.9707931,0.066567354,0.9108899,0.686597,0.665227,0.84590924,0.86998034,0.9877983,0.586889,0.9909033,0.7543723,0.665227,0.68625677,0.8409863
PHBVH,0.3178002,0.81220144,0.276681,0.774366,0.8200401,0.8548088,0.8626506,0.6468864,0.8126604,0.6768419,0.8200401,0.89030254,0.965417,0.99630314,0.009258565,0.5344333,1.0,0.21513578,0.44495523,0.851877,0.46701807,0.8128318,0.79820144,0.9653988,0.4090024,0.84343964,0.6768419,0.56375104,0.8788198,0.5452727,0.37321448,0.4090024,0.96544325,0.51784915
NR,0.5237597,-0.08223444,0.6270838,0.52946866,0.52396023,0.09159724,0.31920087,0.67104256,-0.08220735,0.7020958,0.52396023,0.3582863,0.3264611,0.17592238,0.5199544,0.74107635,0.21513578,1.0,0.67118406,0.3066523,0.7377122,-0.081999086,0.5972526,0.330657,0.634418,0.4944836,0.7020958,0.697102,0.14645292,0.70077956,0.9150179,0.634418,0.33033702,0.7187297
PBAT,0.50827116,0.012762439,0.9724283,0.6466995,0.79994255,0.48582813,0.42950338,0.752357,0.012658253,0.7583513,0.79994255,0.5478735,0.5868558,0.391257,0.852674,0.9673209,0.44495523,0.67118406,1.0,0.628609,0.9427357,0.012999136,0.8464048,0.592824,0.56798595,0.7603727,0.7583513,0.98172486,0.4997845,0.9862431,0.63804334,0.56798595,0.5923999,0.76047635
PEG,0.38465217,0.5034033,0.46222204,0.7478039,0.8952346,0.86376476,0.70738924,0.74090016,0.50386465,0.7383891,0.8952346,0.871802,0.90698963,0.82086474,0.21042825,0.71083236,0.851877,0.3066523,0.628609,1.0,0.6544052,0.50409824,0.879261,0.908121,0.48667935,0.90278524,0.7383891,0.7207248,0.8779484,0.70614594,0.47000074,0.48667935,0.9080443,0.6277406
PEF,0.39291877,-0.031845167,0.8844426,0.5706546,0.838399,0.48519257,0.35776627,0.706492,-0.031529404,0.8539708,0.838399,0.6455695,0.6365129,0.4043396,0.7551829,0.9707931,0.46701807,0.7377122,0.9427357,0.6544052,1.0,-0.031196013,0.8513093,0.63979876,0.5809134,0.81538504,0.8539708,0.94661653,0.5210184,0.95966315,0.7557063,0.5809134,0.639514,0.75340706
PHV,0.25460055,0.99999845,-0.10817482,0.6336613,0.3559556,0.5861175,0.85885376,0.36933386,1.0,0.30752915,0.3559556,0.5462524,0.633111,0.85986215,-0.30575448,0.066567354,0.8128318,-0.081999086,0.012999136,0.50409824,-0.031196013,1.0,0.39664292,0.6330966,0.10048911,0.38485146,0.30752915,0.13156581,0.59622407,0.09922586,-0.029200546,0.10048911,0.63321775,0.1625914
PES,0.50138086,0.39597738,0.71072346,0.856653,0.95839536,0.7961133,0.73467016,0.89560384,0.3963596,0.87927854,0.95839536,0.8721518,0.8856008,0.75771135,0.46627802,0.9108899,0.79820144,0.5972526,0.8464048,0.879261,0.8513093,0.39664292,1.0,0.8882786,0.5822722,0.95170176,0.87927854,0.92515767,0.82551765,0.9125859,0.6767148,0.5822722,0.8880897,0.76550937
PHB,0.31533507,0.6322675,0.42409086,0.7529525,0.9330304,0.87386364,0.76729286,0.7024499,0.6328684,0.7655879,0.9330304,0.9387393,0.99991906,0.9394557,0.15646692,0.686597,0.9653988,0.330657,0.592824,0.908121,0.63979876,0.6330966,0.8882786,1.0,0.502451,0.95051986,0.7655879,0.6973098,0.90124154,0.68689823,0.5135512,0.502451,0.99999976,0.62077695
Nylon,0.7019006,0.1002826,0.46866944,0.5402897,0.6230436,0.37264726,0.39989245,0.62059987,0.10027395,0.6301173,0.6230436,0.4528623,0.49870795,0.3729985,0.29987583,0.665227,0.4090024,0.634418,0.56798595,0.48667935,0.5809134,0.10048911,0.5822722,0.502451,1.0,0.6040861,0.6301173,0.6088046,0.37891507,0.60727555,0.6772596,1.0,0.5021568,0.9488894
P3HP,0.36951363,0.38396198,0.60734653,0.7359388,0.99626493,0.8155105,0.6460645,0.78133684,0.3845654,0.83123845,0.99626493,0.90583277,0.9494318,0.7958463,0.35382575,0.84590924,0.84343964,0.4944836,0.7603727,0.90278524,0.81538504,0.38485146,0.95170176,0.95051986,0.6040861,1.0,0.83123845,0.83961934,0.8450034,0.8355729,0.65825427,0.6040861,0.95041597,0.7360831
PE,0.4711379,0.30665702,0.62957287,0.6913392,0.8240686,0.63467735,0.5885953,0.726003,0.30728704,0.99999994,0.8240686,0.8485261,0.7652907,0.63845927,0.4412272,0.86998034,0.6768419,0.7020958,0.7583513,0.7383891,0.8539708,0.30752915,0.87927854,0.7655879,0.6301173,0.83123845,1.0,0.84004325,0.6877804,0.84149903,0.7458439,0.6301173,0.7655103,0.7812842
PBSA,0.5399306,0.13118435,0.91521204,0.7427113,0.86991304,0.58711404,0.5444856,0.83283323,0.13123435,0.84004325,0.86991304,0.6693519,0.69221234,0.5129283,0.7501161,0.9877983,0.56375104,0.697102,0.98172486,0.7207248,0.94661653,0.13156581,0.92515767,0.6973098,0.6088046,0.83961934,0.84004325,1.0,0.60920715,0.9979225,0.6945,0.6088046,0.69694555,0.8027885
PVA,0.29802218,0.5953562,0.3348882,0.70582324,0.8185346,0.9943793,0.72038466,0.65218204,0.596066,0.6877804,0.8185346,0.9275962,0.90269744,0.85819554,0.08701827,0.586889,0.8788198,0.14645292,0.4997845,0.8779484,0.5210184,0.59622407,0.82551765,0.90124154,0.37891507,0.8450034,0.6877804,0.60920715,1.0,0.5929573,0.30672193,0.37891507,0.90134084,0.5096761
PBS,0.5140293,0.098805435,0.92563987,0.7072538,0.86533207,0.56987673,0.5067242,0.80379647,0.09889162,0.84149903,0.86533207,0.66225356,0.6820281,0.49198815,0.7721665,0.9909033,0.5452727,0.70077956,0.9862431,0.70614594,0.95966315,0.09922586,0.9125859,0.68689823,0.60727555,0.8355729,0.84149903,0.9979225,0.5929573,1.0,0.70069957,0.60727555,0.6865416,0.7979992
PS,0.40025273,-0.029832805,0.5383746,0.5105289,0.67112327,0.24817717,0.32494557,0.6629509,-0.029426124,0.7458439,0.67112327,0.535251,0.51161814,0.32247493,0.3813715,0.7543723,0.37321448,0.9150179,0.63804334,0.47000074,0.7557063,-0.029200546,0.6767148,0.5135512,0.6772596,0.65825427,0.7458439,0.6945,0.30672193,0.70069957,1.0,0.6772596,0.5133569,0.7333808
PA,0.7019006,0.1002826,0.46866944,0.5402897,0.6230436,0.37264726,0.39989245,0.62059987,0.10027395,0.6301173,0.6230436,0.4528623,0.49870795,0.3729985,0.29987583,0.665227,0.4090024,0.634418,0.56798595,0.48667935,0.5809134,0.10048911,0.5822722,0.502451,1.0,0.6040861,0.6301173,0.6088046,0.37891507,0.60727555,0.6772596,1.0,0.5021568,0.9488894
PHPV,0.31484473,0.6323877,0.423623,0.75267345,0.9328622,0.8739414,0.7671601,0.70211387,0.63298976,0.7655103,0.9328622,0.9388916,0.99992853,0.93951327,0.15601633,0.68625677,0.96544325,0.33033702,0.5923999,0.9080443,0.639514,0.63321775,0.8880897,0.99999976,0.5021568,0.95041597,0.7655103,0.69694555,0.90134084,0.6865416,0.5133569,0.5021568,1.0,0.6204091
