,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
Impranil,0.58629286,-0.14147459,0.33587128,-0.11927098,-0.027006749,-0.19852252,-0.5749606,-0.27996755,-0.15916815,-0.10823316,-0.18402304,-0.5284206,-0.18982464,-0.5985132,0.37821084,0.4192293,0.14489853,-0.031865273,-0.09419088,-0.117534876,-0.21556158,-0.73731685,0.022722559,-0.09105496,-0.017352909,-0.46800503,0.380989,0.4149319,-0.7397444,-0.2122696,-0.42059368,-0.4222072,-0.55565333,-0.11859752,0.07539746,0.13315758,-0.35273027,-0.054316334,-0.11249035,-0.27122506,0.27456987,-0.58788645,-0.50292003,-0.39325023,-0.11033539,-0.36099094,0.3959035,0.26372802,0.1686874,-0.020166334,0.01996826,-0.2968031,-0.10637028,0.61266446,0.6917008,0.45882714,-0.003560973,-0.5204745,0.23937449,-0.6508061,-0.5518151,-0.31702012,-0.16436276,-0.35288405
P(3HB-co-3MP),-0.009824164,0.13413255,-0.114397176,-0.17919779,0.0017306741,-0.084189594,-0.083645694,0.11702941,0.030701416,-0.15147248,-0.3660306,0.008699463,-0.05675056,-0.20679332,0.24326745,0.08117432,0.07501434,-0.24976876,-0.17341253,0.078949966,0.07427624,-0.1794396,-0.1777463,0.0550354,-0.21562141,-0.12819713,0.04778535,0.15692027,-0.13674654,-0.012212053,-0.13471578,-0.045631878,-0.09315923,0.09861088,0.13901186,0.13155971,-0.4316996,-0.17605709,0.24444029,0.15686059,-0.22310278,-0.05348495,-0.32208237,0.09497363,-0.14118731,0.21808411,0.08450167,0.18043771,-0.07814796,-0.0390024,0.1494286,0.16637118,0.073129475,0.06254097,-0.27149907,-0.096569404,-0.024144327,-0.028247152,0.17287843,-0.15645695,-0.19077033,0.14861828,0.1552495,0.14520575
ECOFLEX,0.36183894,0.12565824,-0.12743638,-0.55829775,-0.09687813,-0.014906245,-0.046178173,-0.6107918,-0.2908018,0.05028826,0.25134122,0.08356541,0.54670507,-0.2767515,0.24638641,-0.016101543,0.4706898,0.19752528,-0.14669017,-0.3512321,-0.009624164,-0.19085713,0.13773522,-0.35290506,0.21011215,-0.17058699,0.2514866,0.38045996,-0.40808898,-0.26851624,-0.388272,-0.20032176,-0.5829613,0.29901376,0.5477546,-0.12253877,0.020079833,0.016478844,-0.5309289,-0.08291287,0.2815778,0.030745791,0.44520834,-0.0196076,0.5029497,-0.2009593,-0.30301574,-0.053364724,-0.24106014,-0.08930792,-0.62748706,-0.34259877,-0.4529801,0.58089614,0.34666568,0.3294993,-0.26260373,-0.46529952,0.30402273,0.05630515,-0.35198575,0.03050513,-0.08555446,-0.17846364
PCL,0.28210708,0.08394464,0.1921683,-0.32694417,0.023176195,0.015856767,-0.18479897,-0.06870537,-0.2029072,-0.25088876,-0.27716836,-0.09180155,0.09096112,-0.3193119,0.37619355,0.19654474,0.20015241,-0.17182392,-0.14489461,-0.20193131,0.18712142,-0.4272758,-0.056847837,-0.22853766,-0.17449577,-0.32112378,0.22715124,0.3188829,-0.4064053,-0.20740706,-0.38496447,-0.17141092,-0.30398175,0.19164483,0.21940006,0.10225197,-0.4236479,-0.14364655,0.057547655,0.052073438,0.007358839,-0.11287788,-0.27273223,-0.0026102166,-0.10923862,-0.048313018,0.08507293,0.313509,-0.062743895,-0.10617322,-0.17579252,-0.046531,-0.16230696,0.13685164,0.11610375,0.08386268,-0.066410325,-0.20199564,0.37831748,-0.12213986,-0.51448345,0.14555638,0.15177564,-0.069953345
PLA,0.42109606,0.070655376,0.12952158,-0.8271041,0.2604299,0.24628039,0.24959204,-0.43653837,-0.43709207,-0.39841622,-0.09668491,0.47455108,0.6437947,-0.83870554,-0.078924485,-0.2140226,0.47684014,-0.1868277,-0.22000983,-0.7871786,0.2814862,-0.20724949,-0.3040766,-0.8808413,-0.2958548,-0.60778725,0.25859684,0.83256525,-0.47166726,-0.6321886,-0.95123625,-0.26649576,-0.9097244,0.5426473,0.64721954,-0.2056763,-0.41111326,0.30846533,0.03227734,0.015288722,0.21022214,0.22814557,-0.11879637,0.33736822,0.08876804,-0.099059336,0.14809562,0.34173337,0.073575236,0.27781793,-0.25747633,0.08411308,-0.31242844,0.3361163,0.12665224,0.15800528,-0.013231423,-0.33645216,0.55673444,-0.027908118,-0.82456535,0.25050193,0.46003902,0.15872951
O-PVA,0.14784458,0.5095934,0.2872489,-1.5140527,1.2297257,0.50560266,-0.27944806,-0.52203053,-0.5141689,-0.896854,-0.8032446,0.53089386,0.5427943,-0.83651793,0.46323192,-0.39688557,1.2164057,-0.37770867,-0.728642,-0.58457386,0.956081,0.07138633,-0.5779713,-1.4969023,-0.9306276,-1.014756,0.6261669,1.2863944,-0.7589192,-0.7689822,-0.7871772,0.24215539,-1.28063,0.4560799,1.2621726,-0.272971,-0.39781475,-0.030989043,0.6054566,0.9746618,0.04762173,-0.044683453,-0.7503196,0.88728833,-0.38478872,-0.23436467,0.49757722,1.2348204,0.3729578,-0.26174748,0.56264675,0.7685225,-0.26875454,0.6272161,-0.49775824,0.34733632,0.39230302,-0.042398177,0.38292095,-0.70039034,-0.6887754,0.82560855,0.6108683,0.38346556
PMCL,0.13779053,0.10596241,0.042189047,-0.24991055,0.011045615,-0.03906378,-0.14206016,0.0143009825,-0.08739034,-0.19923456,-0.31688386,-0.05148752,0.015969586,-0.25804392,0.3157362,0.14201231,0.13164417,-0.20802748,-0.15569182,-0.063897654,0.12887596,-0.30647922,-0.11918232,-0.08794846,-0.1836389,-0.22234976,0.14376053,0.23701191,-0.27268425,-0.11531234,-0.25681266,-0.110704854,-0.19862096,0.14190902,0.17442581,0.1215486,-0.42228025,-0.16105786,0.14337943,0.10281314,-0.10866639,-0.08551111,-0.29336146,0.039452404,-0.12236992,0.079565816,0.08505027,0.24948205,-0.07012685,-0.08146111,-0.02158249,0.052546825,-0.048745867,0.10070261,-0.06725832,-0.001328163,-0.04231997,-0.11829712,0.28415275,-0.13453308,-0.36310655,0.13743667,0.15122706,0.023899091
PHO,0.7389269,-0.008185618,0.6935125,-0.6740471,0.054041173,0.24725524,-0.27172446,-0.20402908,-0.5699026,-0.544154,-0.28173754,-0.11765791,0.33755514,-0.6008556,0.5368026,0.32558027,0.3653072,-0.2080399,-0.139527,-0.69307685,0.49314663,-0.8161094,-0.06250612,-0.69473046,-0.20913963,-0.7239807,0.46701485,0.6767431,-0.8046509,-0.5574939,-0.9164359,-0.3167123,-0.6314837,0.40630513,0.3572551,0.06988582,-0.5663784,-0.09689364,-0.08055144,-0.066966966,0.2709965,-0.17346264,-0.369777,-0.049914047,-0.19526362,-0.39646414,0.16745308,0.6051851,0.009635105,-0.13039517,-0.61429024,-0.2323704,-0.5088869,0.13549241,0.57254004,0.34378573,-0.08675744,-0.46624035,0.75326526,-0.07209924,-1.1243417,0.21612063,0.2677521,-0.32867336
PHBH,-0.010132796,0.13406119,-0.11458844,-0.1797484,0.0019015849,-0.084006794,-0.08359478,0.11719423,0.030646496,-0.15179299,-0.36599922,0.009115186,-0.056777436,-0.2072021,0.24316826,0.08114704,0.07534165,-0.25020432,-0.17349024,0.07910761,0.0749059,-0.17903526,-0.17807488,0.054481436,-0.21586311,-0.12840025,0.04758432,0.15716542,-0.13645361,-0.012729905,-0.13485524,-0.045372263,-0.09325879,0.099083535,0.13893884,0.13124733,-0.4316195,-0.17604963,0.24481648,0.15720735,-0.22370934,-0.053175762,-0.32230654,0.09539069,-0.14166394,0.21837352,0.08501706,0.18106744,-0.07792368,-0.039016824,0.14968461,0.16720285,0.07331633,0.06254232,-0.27192926,-0.09722037,-0.024037316,-0.028049879,0.173428,-0.15623233,-0.19106364,0.1487078,0.15575168,0.14556627
LDPE,0.33219782,-0.42990667,0.06883217,-1.0088824,0.39722276,-0.20563385,-0.26654243,-0.4234576,-0.119207524,-0.338933,0.0013324708,0.4257182,0.36685973,-0.9193191,0.12035085,-0.043301746,0.55697405,-0.25048953,-0.022090048,-0.29351163,0.22446096,-0.20738351,-0.19924358,-0.7153832,-0.062247224,-0.28723976,-0.023087522,0.5942905,-0.17380974,-0.5281441,-0.48141834,-0.21437262,-0.6436644,0.5395726,0.30147544,-0.4315155,-0.21858649,0.1791781,-0.05811268,0.07749403,0.20732784,0.093778886,-0.11627101,-0.1469854,0.08362858,0.0143648805,0.44883904,0.43754637,0.14199513,-0.024926288,-0.42429122,0.240424,-0.20713274,0.5883509,0.28624478,-0.12269012,-0.59524745,-0.5252363,0.95926714,0.0780273,-0.5610675,-0.09631542,0.24237274,-0.07720244
