,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
PPL,0.42109606,0.070655376,0.12952158,-0.8271041,0.2604299,0.24628039,0.24959204,-0.43653837,-0.43709207,-0.39841622,-0.09668491,0.47455108,0.6437947,-0.83870554,-0.078924485,-0.2140226,0.47684014,-0.1868277,-0.22000983,-0.7871786,0.2814862,-0.20724949,-0.3040766,-0.8808413,-0.2958548,-0.60778725,0.25859684,0.83256525,-0.47166726,-0.6321886,-0.95123625,-0.26649576,-0.9097244,0.5426473,0.64721954,-0.2056763,-0.41111326,0.30846533,0.03227734,0.015288722,0.21022214,0.22814557,-0.11879637,0.33736822,0.08876804,-0.099059336,0.14809562,0.34173337,0.073575236,0.27781793,-0.25747633,0.08411308,-0.31242844,0.3361163,0.12665224,0.15800528,-0.013231423,-0.33645216,0.55673444,-0.027908118,-0.82456535,0.25050193,0.46003902,0.15872951
PEA,0.10106256,-0.115348995,0.06271641,-1.1666665,0.64211875,0.13381572,-0.011970265,-0.25152442,-0.29026645,-0.6483891,-0.3017197,0.5629701,0.41800725,-0.89816004,0.061993986,-0.2978846,0.6469552,-0.37598395,-0.22454697,-0.44646892,0.55420953,-0.047693703,-0.38773358,-0.97404754,-0.40965176,-0.47916758,0.015312775,0.7147189,-0.15583374,-0.6864017,-0.6526017,-0.003370257,-0.8208872,0.62231755,0.48382244,-0.30510387,-0.3078444,0.17229067,0.2973863,0.45799688,-0.056999348,0.21971773,-0.4057752,0.4104363,-0.18921275,0.07510068,0.51496524,0.69655347,0.20070164,-0.030590197,0.040358387,0.6107972,-0.067718625,0.36519468,-0.1872637,-0.21948415,-0.14543416,-0.2080208,0.8201253,0.05091068,-0.64614064,0.243086,0.5791082,0.26951343
P4HB,0.13327836,0.09954691,-0.048141826,-0.52776325,0.19772682,0.0940838,0.12160423,-0.14240417,-0.18458702,-0.28429136,-0.2477798,0.2961391,0.29703945,-0.54289514,0.009919406,-0.13568862,0.29132774,-0.24005501,-0.21297245,-0.36644122,0.20413122,-0.11122179,-0.29265404,-0.4651509,-0.2804725,-0.35152382,0.114007,0.50404185,-0.22287753,-0.34968668,-0.53585756,-0.13055404,-0.52507854,0.34851956,0.40878835,-0.06510173,-0.40007186,0.10501091,0.20645314,0.16013521,-0.055254772,0.14251806,-0.26420093,0.28230718,-0.043344904,0.12178559,0.17898946,0.2878573,0.03646146,0.14756139,0.042178467,0.23859048,-0.055507146,0.19157663,-0.16341016,-0.037994854,0.013576353,-0.14018212,0.36236438,-0.06523322,-0.47441375,0.2183838,0.3702031,0.22596149
PHBV,0.055204425,0.116423555,-0.08319689,-0.33937284,0.09674559,0.0018207198,0.014984482,-0.004580857,-0.06916741,-0.21409188,-0.31162548,0.14136037,0.10931539,-0.36270726,0.13078329,-0.023620097,0.17790934,-0.24461596,-0.1909309,-0.13025615,0.13185641,-0.14723696,-0.23017305,-0.18642229,-0.24513058,-0.23288202,0.08038207,0.31896958,-0.17407525,-0.16688378,-0.32367125,-0.088281386,-0.29683995,0.21350536,0.2662543,0.038964503,-0.41762844,-0.042331446,0.22834902,0.15726598,-0.14220767,0.038142305,-0.29433334,0.18315855,-0.09205073,0.17578518,0.13071766,0.22615908,-0.022179136,0.05275411,0.10093313,0.19719443,0.014313973,0.123399265,-0.21973667,-0.067871325,-0.006112347,-0.0801557,0.25758284,-0.11589288,-0.32303518,0.1814694,0.25490922,0.18467548
PBSeT,0.23029566,0.07975024,-0.18117021,-0.3266544,-0.18146266,-0.076314844,-0.04453018,-0.5453885,-0.1792096,0.2585329,0.27936268,0.03381328,0.41875094,-0.1370947,0.23621625,0.006117262,0.39666083,0.21392477,-0.093276836,-0.1684052,-0.07568949,-0.04705639,0.20095311,-0.18503205,0.2913703,0.0037333898,0.21960482,0.18876873,-0.22853975,-0.11023022,-0.15831602,-0.16675155,-0.41268218,0.18746378,0.3743506,-0.16552666,0.21503851,-0.00967271,-0.5693353,-0.051436182,0.20080872,-0.0020080716,0.5183965,-0.06087122,0.56027764,-0.14948662,-0.27190813,-0.20193373,-0.22618137,-0.12064263,-0.48944676,-0.3306464,-0.32698533,0.5357524,0.26060104,0.2527086,-0.20937718,-0.38468915,0.18791184,0.094265915,-0.07467115,0.016895976,-0.14170422,-0.17942479
PET,0.47789302,-0.13669121,0.14160009,-0.6937642,0.15157163,0.049791083,-0.0513229,-0.53269315,-0.33880553,-0.09029933,0.1481092,0.20763001,0.5305744,-0.6425778,0.123692535,-0.00229375,0.5398331,0.024375232,-0.049939822,-0.56671125,0.1645961,-0.24250226,0.015491045,-0.65843177,0.03874807,-0.3598008,0.22099046,0.5732345,-0.43088746,-0.44178241,-0.57320267,-0.2801504,-0.7011627,0.42536405,0.46160477,-0.31649572,-0.10728967,0.2200726,-0.35416928,-0.03787918,0.34859595,0.047247954,0.20592703,-0.03963273,0.32578182,-0.20652778,0.06008664,0.19977394,-0.026983026,0.0496879,-0.5858332,-0.15044585,-0.36418036,0.5669843,0.43880183,0.18105935,-0.24381734,-0.49534833,0.5743145,0.094302304,-0.56299055,0.018438108,0.1687914,-0.1580139
PHBVH,0.06964429,0.1127573,-0.07628281,-0.3731765,0.11650209,0.019517392,0.035740037,-0.03074012,-0.09050286,-0.22700606,-0.29999977,0.16930948,0.14518945,-0.3956679,0.107011855,-0.045655224,0.19937436,-0.2428163,-0.19467857,-0.17527045,0.14387012,-0.14068742,-0.24106996,-0.23770279,-0.25087824,-0.25491348,0.087607756,0.35322747,-0.18267046,-0.19981,-0.36395827,-0.09747751,-0.34018758,0.23796037,0.29334563,0.019607652,-0.41445222,-0.014118336,0.22426397,0.1572686,-0.12467844,0.057246607,-0.28799316,0.20163052,-0.08126196,0.16622366,0.13952805,0.23577616,-0.01069603,0.07181289,0.0898416,0.20321816,0.0014586046,0.13622373,-0.20847395,-0.060880184,-0.0019820298,-0.0912943,0.27564412,-0.10704837,-0.35105577,0.18844225,0.27565053,0.19243863
NR,1.0424409,-0.4638838,0.29794496,-0.47019702,-0.276344,-0.37372243,-0.36726013,-0.5398771,-0.28863516,-0.24998724,0.3146876,0.16918945,0.5627054,-0.9549699,0.17694375,0.30355024,-0.042896662,0.11394697,0.4464214,-1.1127046,0.108988956,-0.72496504,-0.0797184,-0.29243582,0.64299506,0.09485952,0.02155126,0.552433,0.0111738555,-0.6159864,-0.5820578,-0.29855928,-0.34009588,0.6761097,-0.061236992,-0.046725884,-0.060486794,0.14840764,-0.43851262,-0.6100683,0.23976193,0.05347453,-0.113601334,-0.7516404,0.40576142,-0.08109338,0.36846668,0.32381278,0.34953833,-0.18095642,-1.1033047,-0.18810955,-0.34016728,0.18488449,1.2016841,0.14532387,-0.5824095,-0.98367953,1.369058,0.81890994,-1.1652011,-0.4335295,0.08874272,-0.7261307
PBAT,0.3778917,0.041230034,-0.0063594384,-0.64266455,0.031312827,0.037654173,-0.03200601,-0.57023007,-0.32299757,-0.068259664,0.15979329,0.13302688,0.5401474,-0.4398598,0.18962234,-0.0038780586,0.48759454,0.11546163,-0.11841616,-0.4354056,0.06324505,-0.21868052,0.07064969,-0.4864683,0.08215347,-0.28376308,0.24975464,0.47378266,-0.4429275,-0.36259192,-0.47252485,-0.24709843,-0.6374727,0.33356726,0.52423155,-0.18129875,-0.090765536,0.09760256,-0.4422806,-0.041223902,0.2999733,0.024381667,0.32675683,0.01429405,0.39447072,-0.21141161,-0.18602088,0.055291627,-0.16882554,-0.039233197,-0.5866995,-0.2739592,-0.4082599,0.53617114,0.33939078,0.2768459,-0.2358466,-0.4546501,0.38532776,0.033158343,-0.46545464,0.06250513,0.040529303,-0.14819562
PEG,-0.23948544,-0.16852489,0.85070026,-1.6806381,0.73474413,0.73512316,-0.047944944,-0.95477045,-0.3413564,-0.32362238,-0.8211519,0.63572747,1.0663009,-1.3684527,0.2095176,-0.10534532,0.84776896,-0.8680443,-0.40053543,-0.9015441,0.62272125,-0.23425886,-0.74485874,-1.7952889,-0.8834767,-1.1894851,0.03136224,1.2563967,-0.872479,-1.0377057,-1.4372047,-0.4999118,-1.3598545,0.78103054,0.8966253,-0.38595724,-1.1794609,0.3540455,0.44051948,0.5128401,0.56280804,0.3351142,-0.8445934,0.9260887,-0.13278542,-0.38896328,-0.034027807,0.39981407,0.03250625,0.03434832,0.10799216,0.60262984,-0.3327492,0.62297374,-0.119233064,0.06325364,0.12171788,-0.5752236,0.50239867,-0.68742067,-1.4200232,0.9922944,1.0838605,-0.25931397
PEF,0.58717555,-0.23363438,0.11624084,-0.87038153,0.14587674,-0.03548844,-0.011388767,-0.7509243,-0.3939299,-0.10855437,0.34185827,0.5669454,0.7760024,-0.6835015,0.13262197,-0.2118807,0.7009371,-0.098739535,-0.030681532,-0.7170008,0.16130151,-0.15115616,-0.07115409,-0.89390653,0.16854198,-0.2747338,0.19916971,0.6973734,-0.33191803,-0.6117217,-0.73980397,-0.38217077,-0.82656246,0.6830167,0.6423515,-0.5167359,-0.023573084,0.2636449,-0.5394078,-0.22044422,0.48008713,0.3612809,0.42374575,-0.04190976,0.53110546,-0.23592475,0.018031543,0.092352636,0.09809655,0.058819048,-0.7601725,-0.13004872,-0.51737446,0.5780195,0.5513095,0.12681524,-0.5270159,-0.55807513,0.65980387,0.24324669,-0.64570194,0.025022425,0.17379819,-0.13563062
PHV,-0.010024816,0.13400435,-0.114546925,-0.17977983,0.0019418137,-0.08400295,-0.083531,0.117078476,0.03064635,-0.15178296,-0.36589545,0.00916218,-0.056639418,-0.20718092,0.24313337,0.08103498,0.07530102,-0.2501043,-0.1735403,0.0789153,0.07480935,-0.1790761,-0.17804572,0.054379612,-0.21578315,-0.12837039,0.04762161,0.15714997,-0.13650188,-0.012721135,-0.13495778,-0.045424838,-0.093410075,0.09905377,0.13894247,0.13119034,-0.4315854,-0.17589857,0.24470818,0.1571953,-0.2234383,-0.053083215,-0.32216212,0.09539609,-0.14147449,0.21824764,0.084956616,0.18094121,-0.07786545,-0.03889498,0.14953427,0.1670437,0.07322048,0.062572256,-0.27174044,-0.09709274,-0.024153437,-0.02810341,0.17339358,-0.15618819,-0.1909929,0.14868844,0.15568697,0.14557582
PES,0.337105,0.007864067,0.18731426,-0.8105654,0.25254983,0.1678376,-0.028860008,-0.31261995,-0.39218515,-0.37473032,-0.15199031,0.23318067,0.46449873,-0.6193235,0.20919378,-0.017608562,0.48154086,-0.13178302,-0.16329983,-0.5242956,0.37829402,-0.31488642,-0.10615147,-0.71869725,-0.20347539,-0.46723312,0.24269688,0.5908334,-0.43105853,-0.48911923,-0.6493451,-0.21313307,-0.70021397,0.4336501,0.47582456,-0.15731595,-0.34459338,0.08801215,-0.06852087,0.16647294,0.14295898,0.06472163,-0.08817137,0.17754227,0.045509096,-0.12118743,0.13159743,0.40576953,-0.047923476,-0.032613277,-0.37832513,0.038776387,-0.31925038,0.32506776,0.16386986,0.08806535,-0.1453534,-0.34827095,0.6155571,0.018320918,-0.69750226,0.2044178,0.32063547,-0.027265023
PHB,0.13666748,0.10132583,-0.045680124,-0.5204478,0.19334552,0.092083804,0.119995095,-0.14397246,-0.18417323,-0.28016663,-0.24731646,0.2892889,0.29535568,-0.5376596,0.012575603,-0.13229834,0.28753307,-0.23601677,-0.20962547,-0.36613083,0.19777708,-0.116525635,-0.2875511,-0.45598915,-0.27768844,-0.34882078,0.11664622,0.50019836,-0.22667399,-0.342262,-0.53239083,-0.13349234,-0.52092826,0.34217504,0.40929902,-0.060633566,-0.40139112,0.10340771,0.20123044,0.1537832,-0.05164021,0.13666752,-0.26201308,0.27575344,-0.038541287,0.11880577,0.17226896,0.28002235,0.03177696,0.14519063,0.03894842,0.22826609,-0.05803871,0.19152793,-0.15816982,-0.031415034,0.012744098,-0.14318518,0.35601467,-0.06735782,-0.4728561,0.21629152,0.36341602,0.2193852
Nylon,0.87264764,-0.40152654,0.0451418,-0.13583724,0.064271085,-0.19094907,-0.33206862,-0.7164876,0.1479548,-0.12848306,0.28976586,-0.1207083,0.1275371,-1.1447331,-0.23994192,0.39098173,0.19261429,0.15427747,-0.026414674,-0.7482241,-0.41959402,-0.17418909,-0.38031223,-0.2921351,-0.12640232,-0.64751756,-0.15251686,0.86818165,-0.70951325,-0.56329924,-0.7416165,0.24479972,-0.49867132,0.34287855,0.15265349,-0.008985486,-0.17658567,0.53334713,0.24497375,-0.514221,0.49036658,-0.42292807,-0.35740384,-0.37360734,-0.037810646,-0.15360461,0.26125723,0.56728053,0.56072533,0.6378783,-0.34403297,-0.044553988,0.214897,0.7458855,0.77264416,0.43975744,0.3630349,-0.41920573,0.5453494,-0.19823873,-0.55225784,-0.3544282,0.049044687,-0.1080886
P3HP,0.38736337,0.049732015,0.10817859,-0.89618415,0.30375814,0.26425147,0.25583115,-0.4184383,-0.43399167,-0.44342387,-0.108607695,0.53802973,0.6517495,-0.8940048,-0.093892224,-0.23900698,0.5090088,-0.23173113,-0.24966224,-0.7790648,0.34875995,-0.16172211,-0.35148713,-0.9655562,-0.32474056,-0.64020777,0.22819674,0.871032,-0.43357572,-0.7043664,-0.98923653,-0.23427324,-0.9466273,0.6016028,0.6418399,-0.24760929,-0.40822768,0.31780022,0.088546455,0.07601662,0.17614754,0.27677482,-0.14633071,0.3936096,0.032229695,-0.068063445,0.22647883,0.41761354,0.12583031,0.3029623,-0.22240916,0.18616253,-0.2831773,0.33171913,0.07498578,0.09482306,-0.013545947,-0.3074966,0.6201363,-0.018558977,-0.8398057,0.26884988,0.5215139,0.2219893
PE,0.33219782,-0.42990667,0.06883217,-1.0088824,0.39722276,-0.20563385,-0.26654243,-0.4234576,-0.119207524,-0.338933,0.0013324708,0.4257182,0.36685973,-0.9193191,0.12035085,-0.043301746,0.55697405,-0.25048953,-0.022090048,-0.29351163,0.22446096,-0.20738351,-0.19924358,-0.7153832,-0.062247224,-0.28723976,-0.023087522,0.5942905,-0.17380974,-0.5281441,-0.48141834,-0.21437262,-0.6436644,0.5395726,0.30147544,-0.4315155,-0.21858649,0.1791781,-0.05811268,0.07749403,0.20732784,0.093778886,-0.11627101,-0.1469854,0.08362858,0.0143648805,0.44883904,0.43754637,0.14199513,-0.024926288,-0.42429122,0.240424,-0.20713274,0.5883509,0.28624478,-0.12269012,-0.59524745,-0.5252363,0.95926714,0.0780273,-0.5610675,-0.09631542,0.24237274,-0.07720244
PBSA,0.41429853,-0.009351229,0.075388655,-0.72311497,0.12931438,0.061733197,-0.06397369,-0.49402887,-0.35341543,-0.1614147,0.065788515,0.16030745,0.5418051,-0.5419294,0.18987608,0.023891568,0.51082367,0.064499706,-0.103702955,-0.4995253,0.18621705,-0.2866244,0.047345575,-0.5984052,-0.016817015,-0.3579132,0.23660626,0.5198016,-0.4807536,-0.3974237,-0.5315191,-0.25056162,-0.6902002,0.38238594,0.51590425,-0.20497216,-0.19502963,0.122834206,-0.32714397,0.026902491,0.2881254,0.020228993,0.21698675,0.017739244,0.30937123,-0.17330533,-0.074365,0.21279623,-0.15348482,-0.030160187,-0.6011333,-0.1890451,-0.40236706,0.5167018,0.3465792,0.19570974,-0.25396907,-0.46636906,0.52843815,0.046170563,-0.56318617,0.07235529,0.12181073,-0.15978067
PVA,0.14983171,0.34171057,0.25103453,-1.4885256,1.1236736,0.4160724,-0.2306282,-0.42818487,-0.5067298,-0.95195895,-0.71520776,0.6244989,0.50301075,-0.8594346,0.42906135,-0.4172464,1.1115537,-0.41606572,-0.615882,-0.55034566,0.9400274,0.016629916,-0.54703915,-1.4225508,-0.8250934,-0.94043475,0.5369232,1.1859735,-0.60312474,-0.7661588,-0.7776193,0.1573478,-1.260671,0.5189834,1.0569975,-0.3133016,-0.44286895,0.005839412,0.5463409,0.8693562,0.028130043,0.041408136,-0.7016425,0.83437943,-0.36779004,-0.16496414,0.55490255,1.1190816,0.33756033,-0.2375638,0.43486843,0.7745964,-0.24457626,0.5015915,-0.47353786,0.16152705,0.24296877,-0.09872747,0.58057415,-0.508837,-0.7203779,0.68333304,0.6152845,0.33921033
PBS,0.39780906,-0.025494002,0.033074304,-0.72036326,0.12519321,0.059150673,-0.042759143,-0.5249836,-0.33058304,-0.12204807,0.11485025,0.19150594,0.5454535,-0.5459742,0.17972803,-0.0028270567,0.5112314,0.061504662,-0.10572927,-0.50105935,0.16460894,-0.25320956,0.03317209,-0.58767784,0.026708167,-0.32469782,0.22838773,0.5270498,-0.42475265,-0.3925632,-0.52885216,-0.24145909,-0.68481874,0.38129872,0.51598847,-0.22931032,-0.1470965,0.13941294,-0.34401292,0.01271301,0.28347737,0.04261746,0.2517792,0.025397997,0.34003597,-0.16593742,-0.055818077,0.16986072,-0.13310668,-0.0077983085,-0.6023113,-0.16967097,-0.39502943,0.534277,0.3369731,0.20835546,-0.2477403,-0.47322613,0.52710176,0.06732841,-0.53418386,0.061923653,0.113828,-0.14458308
PS,1.3152649,-1.1167021,0.19944344,-0.73413265,0.36497608,-0.099227734,0.0029494397,-0.71154773,-0.5526206,-0.35842878,0.22413248,0.4554431,1.1030273,-1.7676276,-0.32099426,0.21594033,-0.28428888,0.19329599,0.6240939,-2.6154473,0.24997924,-0.93903464,-0.41462716,-1.2891053,0.6141097,-0.16151343,-0.4463664,1.3584557,0.14968158,-1.4030296,-1.3397565,-0.7457715,-0.5770281,1.3443867,-0.12731968,-0.061349485,0.11145754,0.6370466,-0.5141411,-0.5092952,0.45038497,0.23543708,-0.35693747,-0.70902,0.43533263,0.2251977,0.8038424,0.49801,0.6488569,0.38194025,-1.4539812,-0.033791296,-0.16903968,-0.12327935,1.4948483,-0.024012025,-0.4246146,-1.0884273,1.9844757,1.3262635,-1.7677319,-0.51066816,0.49121615,-0.7406181
