,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
PPL,-0.12843461,0.58796114,0.6204291,-0.13003716,-0.72410464,0.6673036,0.024493087,0.32758203,-0.371516,-0.3578923,0.08428083,-0.54481333,0.40729457,0.6383478,-0.19453996,0.060272355,-0.038807,-0.7233317,0.58391565,0.47206527,0.59328204,-0.67834234,-0.009322901,-0.11623669,-0.43054596,0.031878456,-0.24921805,-0.24981634,0.46703923,0.58057946,-0.3597659,-0.76695895,-0.13033174,0.47675273,0.1653459,0.71742356,-0.4751487,-1.3788335,0.3704883,0.69402164,-0.27136976,-0.48742193,-0.46451285,0.89657307,0.6690447,0.36972204,0.7118265,0.6997054,0.8970694,-0.29602468,0.2861791,0.3555936,0.77388847,-0.15275328,-0.289153,0.20446485,-0.19954008,-0.60164016,0.24583517,-0.25662276,-0.55601597,0.96415406,0.35964295,0.12889428
PEA,0.9440005,1.1150075,0.5502097,-0.26093292,-2.3280535,-1.6610343,-0.61242,-2.425164,-2.7364135,-1.4943113,0.40680486,-1.0362278,1.5876938,-0.26558626,0.73361164,-1.4650253,0.063810706,0.97815394,0.30656263,2.2234902,-0.19989777,-1.4770858,-0.86745846,-0.19824794,2.3266172,2.2558148,-0.60621965,0.3984914,-0.64998055,-0.57427704,0.64499456,-1.1599592,-0.1356094,-1.5009236,1.3231751,0.96333206,2.933095,1.9221879,-1.9105731,0.7392418,-0.39150026,-0.06618509,2.6324844,0.61750084,0.91255814,2.1202233,0.8481458,-2.0769088,-1.5875459,1.4913346,-0.6564504,-1.9005853,0.6666706,0.9596879,-0.09576848,-0.03138164,-0.42664832,2.8110874,-0.354652,3.1815093,1.8595551,1.9164518,1.159238,-1.0939579
P4HB,-0.055903014,0.14420442,0.14329119,-0.041876506,-0.5809993,0.37997133,0.16960812,0.2603572,-0.12478063,-0.10508782,-0.10562711,-0.24013676,0.14800712,0.5014181,0.010944749,0.19068572,-0.06040926,0.054067142,0.194813,0.48053172,0.37315503,-0.22277945,-0.24637805,0.019104043,-0.48220292,0.009989499,-0.22672077,0.25590605,0.2269568,0.38201806,0.03811994,-0.3338988,0.16104013,0.13766178,-0.09019353,0.65910596,-0.087459184,-0.50719607,0.09486148,0.35499665,-0.07558779,-0.41850698,-0.43120486,0.21879454,-0.019868208,0.24295065,0.3797052,0.15035203,0.41770774,-0.29564363,0.31972346,0.106602624,0.3499966,-0.21321212,0.0008930899,0.06784374,-0.035042778,-0.41264254,0.10168958,0.014733539,-0.15365285,0.5950391,0.19760755,0.051491972
PHBV,0.06943328,0.305674,0.012421503,0.052047435,-0.5959428,0.3209937,0.13832419,0.2858083,0.022894427,-0.23135489,0.031029806,-0.42546853,-0.18570498,0.43801883,0.122474425,0.34026352,-0.28045616,-0.26778725,0.39928183,0.26039773,0.65104085,-0.16962042,-0.23150991,0.20093204,-0.25369766,-0.090276025,-0.29100654,0.21066989,0.38968104,0.22328919,0.034044843,-0.34990042,-0.22707899,0.2770438,0.08229877,0.3295152,-0.20904821,-0.83240676,0.034370355,0.55125344,0.025182938,-0.3116908,-0.6007995,0.27772215,0.38072112,-0.1722802,0.38159966,0.25758097,0.6936993,-0.28454342,0.57500494,-0.011168667,0.17875807,-0.24981453,0.3038888,-0.07207972,0.3064312,-0.5040198,0.3490019,-0.49403146,-0.2788814,0.18810697,0.32062477,0.10476343
PBSeT,-0.30570865,-0.439656,0.34600922,0.18169488,0.2598111,-0.1195021,-0.40433392,0.12143036,-0.67281294,-0.13709675,0.30180493,-0.1035298,0.068129376,0.54559386,0.29930967,-0.14907661,-0.27339786,-0.07971708,-0.17615186,0.16046898,0.35325035,-0.6784654,0.21783255,-0.37928155,-0.46875256,-0.40295276,-0.45523933,-0.3607908,-0.34351116,0.5422825,0.05744132,0.18661496,0.18404295,-0.28146774,-0.028797776,0.2992772,-0.2557187,0.35154653,0.036474977,-0.12283461,-0.31319594,-0.1911411,0.3123666,0.025774522,-0.12172731,0.58343405,0.006226389,-0.09071193,-0.32782748,0.07705298,-0.10553206,0.2345859,-0.11786162,0.03451439,-0.24967778,0.048225336,-0.54056746,-0.10513898,0.09747757,0.84523195,-0.21505885,0.8008959,0.3704317,0.013325251
PET,-0.2679155,-0.7028163,0.43864942,0.20259131,0.46967858,-0.052167915,-0.52683717,-0.004199397,-1.0527098,-0.16286162,0.31798697,-0.16467547,0.080426134,0.5205872,0.0944486,-0.36372253,-0.46863294,-0.23257658,-0.18541418,0.081259556,0.35452133,-0.8790227,0.13523385,-0.33111945,-0.37746388,-0.4197785,-0.51959723,-0.44108143,-0.22757588,0.7012322,-0.22427621,0.06831093,0.23072386,-0.3201965,0.074411556,0.23031431,-0.37519225,0.5673056,0.13247877,-0.18384188,-0.39129996,-0.09161506,0.4060684,0.14248519,-0.18025202,0.47662285,0.27308366,-0.22524452,-0.5083411,-0.03374153,-0.28486958,0.26012418,-0.22474858,0.009112496,-0.41300818,0.029491143,-0.5197789,-0.15049054,0.4566655,0.9496929,-0.3766046,0.5673946,0.525363,-0.1775494
PHBVH,0.09261725,0.37131163,0.040202208,0.0567098,-0.62278336,0.35286936,0.17519821,0.3246891,0.047466308,-0.21760853,0.08164671,-0.40328476,-0.21355808,0.50539136,0.09960319,0.38919592,-0.2919226,-0.28014836,0.45410317,0.25280723,0.6764577,-0.16799562,-0.24542154,0.253781,-0.25226277,-0.08296545,-0.24777979,0.21782067,0.40478215,0.1899533,0.064802155,-0.4047628,-0.2295316,0.27880678,0.08473211,0.2632304,-0.21633337,-0.8985807,0.039449923,0.6078863,0.024742307,-0.28106675,-0.66020805,0.28644776,0.38289788,-0.19003356,0.41483858,0.27859646,0.76639515,-0.30621532,0.61293334,-0.04484482,0.19482584,-0.27806014,0.30599973,-0.056341816,0.29643163,-0.5200304,0.3619134,-0.54973227,-0.29129046,0.15392901,0.36322403,0.13279012
NR,0.5396069,-0.95595396,-0.032502666,0.45241323,-0.039220065,-0.85313636,-1.3871574,-1.1929021,-0.56765205,-0.48182017,0.19634534,-0.093625896,-0.17081179,0.39555335,0.010772128,-0.73350364,0.7663125,-0.6207684,0.10084854,0.67451245,-1.5866911,-0.52012455,0.097716294,0.9499247,1.197415,0.38642627,-0.65781087,-0.25833318,-0.92371094,0.6963404,-1.7377412,0.1771968,-0.8454132,-0.5440675,0.381219,0.029280929,-0.4317534,0.7207641,-0.11966345,-0.819377,0.58513325,0.539839,0.36841488,0.3056616,-0.294963,-1.0413023,0.46656507,-0.7933015,-1.3770305,-0.13271467,-0.7977858,-1.5431103,-0.06375048,0.37667173,0.36966014,-0.20366791,0.29358855,-0.2662385,-0.008301451,0.7940534,1.1198425,-0.5393802,1.3795723,-0.9901295
PBAT,0.048389547,-0.3497584,0.072004765,-0.15936829,0.14792517,-0.22324422,-0.10181901,-0.12362518,-0.4023411,0.1970306,-0.18035813,0.18263327,0.024876498,0.21925372,0.08721006,-0.11333839,0.13140303,-0.039210133,-0.05190563,0.066225305,0.17409985,-0.016926244,-0.007019381,-0.49199983,-0.113908134,-0.2656084,-0.039646015,0.0034927342,0.061778776,0.14837079,-0.19626006,0.03190167,0.04106525,0.25492886,-0.12200345,-0.098063014,0.08081396,0.12764329,-0.1394072,-0.11110792,-0.24775296,0.09979952,0.4245601,-0.08534676,0.24015749,0.065474086,-0.059913997,0.22952402,0.097926676,-0.19006766,0.1735598,-0.15589091,0.109452486,-0.045955066,-0.42682153,0.26407626,-0.19115143,-0.28782696,-0.047261525,-0.24860299,-0.2680291,-0.108180575,0.11302839,0.042465277
PEG,0.21305488,0.18738064,-0.11415409,-0.27055702,-0.58165056,0.29084077,0.35159627,-0.6704682,-0.18504673,-0.3406611,0.28637296,0.7820038,0.11782056,0.14684202,0.06410581,0.36951786,0.26406673,0.59605396,-0.028176948,0.7018734,-0.22311562,0.3061114,-0.19529334,0.2104936,1.1561179,0.63106835,-0.7517746,0.43747678,-0.13031411,-0.40508518,0.243751,-0.7251547,0.6250121,-0.22258067,-0.33135352,-0.6734871,0.085306965,-0.17229162,-0.1131004,0.22829705,0.13875155,-0.38070714,0.418188,0.38216487,-0.3237706,0.5834168,0.61885166,-0.63844144,0.2922427,0.37655038,-0.07303347,-0.89328563,0.5493922,-0.21148989,0.1927367,-0.17887087,-0.13689537,1.1647242,-0.5080114,0.30449754,0.21913017,0.17117992,0.49601433,-0.046145774
