,Impranil,P(3HB-co-3MP),ECOFLEX,PCL,PLA,O-PVA,PMCL,PHO,PHBH,LDPE,PPL,PEA,P4HB,PHBV,PBSeT,PET,PHBVH,NR,PBAT,PEG,PEF,PHV,PES,PHB,Nylon,P3HP,PE,PBSA,PVA,PBS,PS,PA,PHPV,PU
Nylon,8.540479,4.3580556,4.981812,2.9923742,4.998827,9.500011,3.0893512,3.915863,4.193208,9.06204,4.998827,9.036504,3.630709,4.4862676,3.209738,3.6388786,4.6538725,5.828995,3.834624,4.4209495,8.8317375,4.184684,6.72006,4.578508,0.0,4.7703223,9.06204,3.262748,4.424299,3.293962,7.577747,0.0,4.5934176,3.368292
P3HP,7.6150446,2.4960625,3.800282,3.278721,2.1821232,9.92984,3.0116398,4.328696,2.1707869,10.173551,2.1821232,12.448885,1.6755974,1.9076768,4.3748064,4.837035,1.8586825,7.851251,3.7162051,4.633751,7.1399946,2.292159,8.43949,1.5380751,4.7703223,0.0,10.173551,2.8964229,5.029757,2.8161619,10.482395,4.7703223,1.4239453,4.873467
PE,14.027992,9.255419,9.941777,8.927144,10.678531,13.057055,9.051642,7.814622,9.262313,0.0,10.678531,13.193934,9.454938,9.409802,9.253944,9.197425,9.472644,5.8128805,9.072419,7.9505606,13.852196,9.157045,11.541602,9.754924,9.06204,10.173551,0.0,9.336283,9.155523,9.401463,8.665411,9.06204,9.502172,9.67076
PBSA,7.901762,2.5543532,3.2827241,1.2411094,3.445141,9.199828,1.0595105,3.212782,2.2682009,9.336283,3.445141,11.629019,1.4086682,2.5004148,2.2166557,2.9291646,2.6976616,6.5900364,2.2147043,4.306991,7.1336503,2.1976697,7.032763,2.5670536,3.262748,2.8964229,9.336283,0.0,4.3803763,0.19772558,8.868523,3.262748,2.599764,3.330474
PVA,9.302937,3.9775078,5.404308,4.155773,5.0062056,8.063113,4.139449,4.0054307,4.085695,9.155523,5.0062056,10.239843,4.3506956,4.2818317,4.907489,5.2833853,4.3963876,7.0128994,4.628917,4.1394653,8.66192,4.058704,7.77189,4.4343133,4.424299,5.029757,9.155523,4.3803763,0.0,4.3841662,8.723606,4.424299,4.587114,5.2080774
PBS,7.8796444,2.5875375,3.3567386,1.3847443,3.3587215,9.17781,1.1853733,3.2966795,2.2958784,9.401463,3.3587215,11.626777,1.3659089,2.5024974,2.2915998,2.9832377,2.6958392,6.659508,2.3328424,4.3496695,7.0534673,2.2305,7.08039,2.5381312,3.293962,2.8161619,9.401463,0.19772558,4.3841662,0.0,8.91385,3.293962,2.5844293,3.4154103
PS,13.049058,9.484555,9.664721,8.506369,10.179693,11.501464,8.669768,8.125392,9.512946,8.665411,10.179693,10.051713,9.417886,9.812894,7.9492855,7.476681,9.985043,5.1226606,8.748549,9.142168,12.886928,9.41769,8.13887,9.984054,7.577747,10.482395,8.665411,8.868523,8.723606,8.91385,0.0,7.577747,10.08683,8.070287
PA,8.540479,4.3580556,4.981812,2.9923742,4.998827,9.500011,3.0893512,3.915863,4.193208,9.06204,4.998827,9.036504,3.630709,4.4862676,3.209738,3.6388786,4.6538725,5.828995,3.834624,4.4209495,8.8317375,4.184684,6.72006,4.578508,0.0,4.7703223,9.06204,3.262748,4.424299,3.293962,7.577747,0.0,4.5934176,3.368292
PHPV,7.9437194,1.3868381,3.3971474,2.7235572,2.519823,9.980074,2.4715617,3.5204039,1.0348319,9.502172,2.519823,12.574545,1.5180645,0.6638945,4.1021695,4.587847,0.56790364,7.307189,3.240963,4.5492706,7.4559307,1.1632557,8.247413,0.60577345,4.5934176,1.4239453,9.502172,2.599764,4.587114,2.5844293,10.08683,4.5934176,0.0,4.5414095
PU,7.8862424,4.153408,3.7896247,3.1774378,5.039663,9.190057,3.2638862,4.0517716,4.095414,9.67076,5.039663,10.799538,3.875558,4.388345,3.0452797,3.3266838,4.526819,6.5887976,3.0958655,5.045811,8.043285,4.076739,6.084768,4.5310125,3.368292,4.873467,9.67076,3.330474,5.2080774,3.4154103,8.070287,3.368292,4.5414095,0.0
