,Impranil,P(3HB-co-3MP),ECOFLEX,PCL,PLA,O-PVA,PMCL,PHO,PHBH,LDPE,PPL,PEA,P4HB,PHBV,PBSeT,PET,PHBVH,NR,PBAT,PEG,PEF,PHV,PES,PHB,Nylon,P3HP,PE,PBSA,PVA,PBS,PS,PA,PHPV,PU
Impranil,0.0,0.5763569,0.55210686,0.2318756,0.5579133,1.0091581,0.33430243,0.2672466,0.576823,0.5055741,0.5579133,0.70769274,0.627154,0.58908486,0.8586358,0.3990835,0.59822285,0.37271726,0.48102063,0.9716379,0.5907483,0.5767906,0.4672535,0.6174016,0.2910087,0.63304126,0.5055741,0.43706882,0.9840239,0.46943152,0.30650783,0.2910087,0.6179664,0.16890842
P(3HB-co-3MP),0.5763569,0.0,0.9384455,0.2598638,0.56822866,0.33172065,0.0786652,0.5340779,2.861023e-06,0.63333595,0.56822866,0.45203793,0.28159583,0.08894473,1.3385506,0.74064434,0.12298417,0.8995626,0.8102428,0.31136864,0.9413186,1.7881393e-06,0.50874734,0.2753147,0.8032101,0.5732616,0.63333595,0.6915939,0.30539113,0.74996716,0.705642,0.8032101,0.2756424,0.6502414
ECOFLEX,0.55210686,0.9384455,0.0,0.37160552,0.2486248,1.0153865,0.61248505,0.24359578,0.93768984,0.29460353,0.2486248,0.4616825,0.49586934,0.68668866,0.18302417,0.09789902,0.6445204,0.17115182,0.026488781,0.9942289,0.10173899,0.93782645,0.20825887,0.4938079,0.5281955,0.2938323,0.29460353,0.0732522,0.9699976,0.057484448,0.3547721,0.5281955,0.49392062,0.35361624
PCL,0.2318756,0.2598638,0.37160552,0.0,0.21276706,0.5602946,0.05815828,0.07519531,0.25949562,0.27586722,0.21276706,0.2769221,0.19239897,0.17395729,0.84515697,0.21147978,0.17292178,0.30676758,0.26286107,0.58812463,0.40134698,0.25958353,0.1228081,0.18551892,0.4333173,0.25581968,0.27586722,0.18706095,0.5224644,0.22565174,0.24809718,0.4333173,0.18589711,0.21557313
PLA,0.5579133,0.56822866,0.2486248,0.21276706,0.0,0.4993406,0.35331613,0.12373239,0.56682533,0.17938524,5.9604645e-08,0.102793396,0.08696115,0.25491858,0.71799046,0.12829751,0.21081865,0.19069517,0.1351617,0.58166087,0.18427557,0.5670711,0.038639843,0.08716506,0.36057717,0.007530153,0.17938524,0.11540556,0.4691112,0.11979747,0.24854004,0.36057717,0.08715844,0.23625368
O-PVA,1.0091581,0.33172065,1.0153865,0.5602946,0.4993406,0.0,0.4379545,0.674367,0.3302694,0.5207254,0.4993406,0.22534776,0.25374913,0.22587585,1.3957517,0.77810395,0.22237599,0.9490148,0.8512875,0.20221627,0.8535822,0.33053392,0.4947126,0.25897187,0.84134537,0.429277,0.5207254,0.743055,0.0047439337,0.7730464,0.8523182,0.84134537,0.25866258,0.7826812
PMCL,0.33430243,0.0786652,0.61248505,0.05815828,0.35331613,0.4379545,0.0,0.24306351,0.07852799,0.41410357,0.35331613,0.33516788,0.1992203,0.0855099,1.0742937,0.4255333,0.10374981,0.55790555,0.48991024,0.43956286,0.63848555,0.07856566,0.26616496,0.19175267,0.58108926,0.3833478,0.41410357,0.38743997,0.4027071,0.43940014,0.4247474,0.58108926,0.19215488,0.37793213
PHO,0.2672466,0.5340779,0.24359578,0.07519531,0.12373239,0.674367,0.24306351,0.0,0.53337103,0.23764336,0.12373239,0.263097,0.23923963,0.33607316,0.7163432,0.10999036,0.31107843,0.13233262,0.143206,0.7817679,0.24908245,0.5335274,0.06778848,0.234613,0.34034353,0.16860169,0.23764336,0.10334301,0.64520186,0.12200707,0.1400913,0.34034353,0.23487997,0.15379661
PHBH,0.576823,2.861023e-06,0.93768984,0.25949562,0.56682533,0.3302694,0.07852799,0.53337103,0.0,0.63190556,0.56682533,0.45027018,0.2802632,0.08814812,1.3383224,0.73963124,0.12205768,0.89873195,0.80926394,0.3102187,0.940134,1.1920929e-07,0.50747037,0.27401215,0.8024504,0.5716553,0.63190556,0.6905718,0.30393398,0.74890035,0.7051141,0.8024504,0.2743382,0.6495515
LDPE,0.5055741,0.63333595,0.29460353,0.27586722,0.17938524,0.5207254,0.41410357,0.23764336,0.63190556,0.0,0.17938524,0.12337428,0.23567986,0.37645888,0.6492636,0.09390962,0.34068716,0.19400114,0.18046457,0.5635339,0.122648954,0.6321695,0.10962206,0.23770118,0.3420543,0.1702798,5.9604645e-08,0.1157276,0.47164053,0.12410945,0.28058112,0.3420543,0.23760533,0.20451593
