,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
Impranil,-0.053231638,0.48190975,0.045597028,0.2714115,0.44131434,0.060317706,0.57078296,0.23551221,0.23286705,-0.49787095,0.14396772,-0.42052436,1.0934279,-0.21235214,-0.31740877,0.3243241,0.67355704,0.5220146,0.19675194,-0.062238898,0.66755736,-0.13691916,0.11451021,0.05573379,-0.56378126,-0.04147273,-0.4017226,0.0756713,0.08560994,0.09346681,0.38399494,-0.056006692,0.50198215,0.29478148,-0.096505366,0.2430775,-0.11856911,-0.51774937,-0.43736115,-0.15095417,-0.2534011,0.39156795,0.35347575,-0.2289961,0.1123519,1.0303274,-0.030853387,0.0018394655,-0.6682534,0.46877056,-0.31309116,0.34601498,0.11489065,-0.5491311,-0.08401157,-0.5419332,0.19933635,-0.0787201,0.2710048,-0.079662696,-0.058034714,-0.4945302,-0.28389,-0.41799974
P(3HB-co-3MP),-0.21455827,0.3720989,0.043705057,0.38025656,-0.17042412,0.14208604,0.58590966,-0.15842491,-0.19967428,-0.36216137,0.3576143,0.29348472,0.59335524,0.123202756,-0.28449795,0.2407432,-0.07163749,0.4000009,0.071314394,-0.367731,0.13049768,0.14476359,0.39825076,0.25297093,0.13370597,0.17842646,-0.33380136,-0.029770732,0.08468074,0.053625017,-0.27019808,-0.15415247,0.26214632,0.13114883,0.10032078,0.037590694,0.2521591,-0.13401824,-0.0670335,0.17997378,0.10958522,-0.08659904,-0.3654752,0.16584364,0.09544715,0.13383815,-0.17984577,0.21808007,-0.16126525,0.113199875,-0.19277243,-0.16501753,-0.2648032,-0.3873967,-0.19653143,-0.11437393,0.33980474,0.31730625,0.17477949,0.044169713,0.075710654,-0.10318984,-0.17580433,-0.119279504
ECOFLEX,-0.19002299,0.28290752,0.0066513936,0.038430978,0.10699756,-0.3983261,-0.124465995,-0.1347462,0.26916957,-0.092138305,-0.23252179,0.016806835,0.6457886,-0.09446327,0.34672585,0.052785423,0.25133047,0.4923562,-0.22243313,0.19245061,0.35404676,-0.4138379,-0.035099376,-0.32054007,-0.33446532,-0.0055449666,0.19224459,-0.028155264,-0.16090621,0.3150839,-0.018699475,0.14878233,0.38802868,0.04235574,-0.25867674,0.04757288,-0.1651443,-0.23327339,0.025502766,0.0058977553,-0.2055907,0.37244648,0.095916405,0.4061487,0.13496679,0.48347694,0.48136917,0.26777655,-0.08395182,0.5269052,-0.2582926,0.14047213,0.32530195,0.035541125,-0.07147813,-0.1669823,0.17713411,0.11755701,0.10650229,0.15978159,0.27230287,0.18551771,0.33816615,0.30704036
PCL,-0.22466989,0.55722785,0.11700896,0.4084974,0.0570573,-0.07347178,0.47885308,-0.15325056,0.045502797,-0.35360718,0.023942703,0.039517757,0.80178726,0.06969464,-0.13364843,0.27699825,0.18744314,0.6062931,0.020875663,-0.1044315,0.38569072,-0.14410208,0.2909015,-0.018128373,-0.19488893,0.10094003,-0.2592139,-0.07060146,-0.036953133,0.22330175,-0.039718777,-0.049761694,0.49205488,0.21826258,-0.21284398,0.18612033,0.17481771,-0.33250037,-0.15791996,0.06802765,-0.0026634613,0.17931704,-0.093731,0.32545072,0.14694269,0.47946832,0.17297392,0.1965424,-0.267679,0.42809585,-0.4007722,-0.018492667,-0.005935423,-0.33316672,-0.14337741,-0.3482271,0.2746396,0.19538373,0.19708048,0.12242974,0.15816477,-0.10303513,-0.1040761,-0.040182937
PLA,-0.35732377,0.7274386,0.22778217,0.53409326,-0.23929606,-0.5151417,0.33501434,-0.34318632,0.013883875,-0.22489421,-0.17268035,-0.055138756,0.9276966,0.22618549,0.41926473,-0.031807955,0.10561649,0.9282496,0.14225547,0.054395985,0.2139248,-0.4747912,-0.013746653,-0.26089895,-0.44864175,0.440584,-0.056097314,-0.07775502,-0.42722774,0.71422243,-0.09612878,0.3856511,0.93482935,-0.14948638,-0.6662622,0.3471316,0.30954748,-0.53829944,-0.101654485,0.19098987,0.16059588,0.324249,-0.3063125,0.5144996,-0.013893333,0.4354075,0.46773115,0.6382759,0.1426968,1.0355392,-0.7196366,-0.074816674,0.0051591764,-0.11407322,-0.31481233,-0.35196912,0.62300295,-0.235695,0.42264086,0.4609853,0.35414642,0.10894746,-0.15173946,0.22848243
O-PVA,-0.826709,0.49661046,1.3669261,1.1943079,-0.67149687,0.6213341,0.92016155,-0.3384443,-0.7728205,0.0108474055,0.4301691,0.61779135,0.38337326,0.70998526,0.16777323,0.019888058,-0.65968156,0.7448692,0.31180853,-0.9475509,0.059365764,-0.06593123,0.88605255,0.058693785,0.28478405,0.9573807,0.033957217,0.005263425,-0.37972996,0.7596441,-0.7240053,0.3225168,0.25272635,-0.03572162,-0.22794673,0.26198846,1.0631483,-0.36672685,-0.094193876,0.3186784,1.0103825,-0.30564842,-1.0096385,0.06239375,0.16933556,-0.46533895,-0.33622724,0.41243216,0.81166065,0.19157727,-0.8912295,-0.70039064,-0.29057515,-0.23309651,-1.0673743,-0.48905,0.54676944,0.41021255,0.2181748,0.74547863,0.43360648,0.028242605,-0.9180342,-0.07398226
PMCL,-0.20898658,0.4624857,0.071565576,0.38217926,-0.03934882,0.040930454,0.51593655,-0.14055245,-0.06650547,-0.36107898,0.19281404,0.16306816,0.6883729,0.084063746,-0.21950154,0.27132303,0.06355054,0.49050292,0.041793276,-0.22777142,0.27068684,0.0063731777,0.3502271,0.119447455,-0.0366145,0.117605485,-0.2969332,-0.047734033,0.036906023,0.12599063,-0.13951206,-0.10907902,0.37502217,0.17808948,-0.048415333,0.10110954,0.19295602,-0.23384248,-0.103986055,0.115762286,0.033546597,0.058440007,-0.20844865,0.242884,0.11942577,0.31901616,0.0052513843,0.18643545,-0.2243288,0.25547075,-0.281892,-0.0774279,-0.12375159,-0.36228833,-0.15849651,-0.22504912,0.2902795,0.25710878,0.17741795,0.07845114,0.10674485,-0.09894087,-0.13242657,-0.08279215
PHO,-0.26450583,1.015088,0.32672352,0.70919305,0.20728451,-0.44569156,0.6052434,-0.3236991,0.287961,-0.49740764,-0.32588437,-0.269965,1.1951292,0.15326954,0.09674442,0.29832283,0.45223507,1.1467221,0.13267712,0.111054495,0.60101557,-0.4954284,0.29706576,-0.3526674,-0.5490805,0.1538195,-0.33665806,-0.14825742,-0.2970262,0.59963244,0.24134792,0.08906238,1.0218829,0.3792527,-0.90244645,0.47680634,0.34440726,-0.6676914,-0.33006582,-0.03619916,0.060224283,0.46567947,0.13163742,0.5764419,0.12971675,0.8949414,0.676971,0.30900815,-0.37188587,1.036076,-0.87981755,-0.084720574,0.13399191,-0.3900658,-0.13741273,-0.76567155,0.41054535,0.024192622,0.29533064,0.3274382,0.23403169,-0.13358505,-0.21284145,-0.017782308
PHBH,-0.21529546,0.37275496,0.045085337,0.38082975,-0.17109954,0.14201456,0.58634216,-0.15829992,-0.20001687,-0.3618305,0.3574287,0.29390538,0.5936327,0.12375358,-0.2836355,0.24068542,-0.07213658,0.40081427,0.07126663,-0.36799243,0.13053448,0.14419144,0.39847723,0.25260088,0.13316812,0.1790642,-0.3333132,-0.03019934,0.08394929,0.054910515,-0.2708634,-0.15303463,0.2628179,0.13062614,0.100058526,0.03787686,0.25330022,-0.13463862,-0.06695466,0.1807317,0.11072871,-0.08673144,-0.36617446,0.16619335,0.095229656,0.13331875,-0.17984425,0.21876423,-0.1605559,0.11380575,-0.19373801,-0.16529234,-0.2647684,-0.387077,-0.19743416,-0.11495064,0.3400631,0.31720996,0.17524928,0.04496198,0.076310776,-0.102947064,-0.17635055,-0.11885963
LDPE,-0.39728707,0.50838333,0.49812347,0.605557,0.02320041,-0.23903571,0.29731867,0.17648219,0.120937295,-0.021534782,-0.20221174,-0.22563694,0.75747085,0.14558117,0.45280483,0.31522343,0.058371153,0.66877854,0.046362687,-0.22674192,0.7658871,-0.6241677,0.10331325,-0.41405484,-0.92257905,0.42049623,-0.11248147,-0.28938317,-0.3847328,0.92740494,-0.30567715,0.43695828,0.4796027,-0.393286,0.08029785,0.4383702,0.18453895,-0.6375453,-0.27881113,0.26960403,0.29584777,0.6105305,-0.085029915,0.37365243,0.25687695,0.38564974,0.22560124,0.21404548,0.00055871473,0.5895708,-0.83849066,0.2534423,0.3975948,-0.31412175,-0.57291406,-0.14823008,0.4448135,0.25098893,0.3367602,0.3800843,0.4547151,0.081948094,-0.1375198,0.32297286
