,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
PPL,-0.35732377,0.7274386,0.22778217,0.53409326,-0.23929606,-0.5151417,0.33501434,-0.34318632,0.013883875,-0.22489421,-0.17268035,-0.055138756,0.9276966,0.22618549,0.41926473,-0.031807955,0.10561649,0.9282496,0.14225547,0.054395985,0.2139248,-0.4747912,-0.013746653,-0.26089895,-0.44864175,0.440584,-0.056097314,-0.07775502,-0.42722774,0.71422243,-0.09612878,0.3856511,0.93482935,-0.14948638,-0.6662622,0.3471316,0.30954748,-0.53829944,-0.101654485,0.19098987,0.16059588,0.324249,-0.3063125,0.5144996,-0.013893333,0.4354075,0.46773115,0.6382759,0.1426968,1.0355392,-0.7196366,-0.074816674,0.0051591764,-0.11407322,-0.31481233,-0.35196912,0.62300295,-0.235695,0.42264086,0.4609853,0.35414642,0.10894746,-0.15173946,0.22848243
PEA,-0.5217713,0.74988854,0.7789308,0.86951387,-0.37314138,-0.17562266,0.5735724,-0.11409071,-0.15268627,-0.0904456,-0.13205865,0.092321336,0.7391578,0.45309758,0.4886669,0.18508914,-0.1907,0.9926018,0.14327642,-0.29936284,0.4027199,-0.49742398,0.3404163,-0.28680736,-0.43966395,0.7552149,-0.07892846,-0.29456043,-0.5017652,1.0215302,-0.41056678,0.48529688,0.7586066,-0.32320887,-0.34630403,0.49870962,0.6617965,-0.6202999,-0.14320654,0.4906017,0.5767012,0.2480645,-0.548415,0.52591515,0.05848897,0.12634285,0.23624688,0.5268432,0.36516607,0.7484546,-1.0050918,-0.104463115,0.021262322,-0.16422305,-0.6822919,-0.37404168,0.61490494,0.11152315,0.46446553,0.63547266,0.49758574,0.15888967,-0.38736054,0.2970632
P4HB,-0.34621724,0.60527533,0.24231991,0.54289174,-0.34156767,-0.17655504,0.51238465,-0.2452029,-0.18907848,-0.25560635,0.10035656,0.17267671,0.75503147,0.26661462,0.15706599,0.073621005,-0.10262912,0.7568075,0.14210308,-0.22406232,0.12469031,-0.18093431,0.20448962,-0.00030412184,-0.17328787,0.46200562,-0.18136135,-0.099316694,-0.24739213,0.5144908,-0.29335755,0.21986929,0.66780424,-0.14585866,-0.2703683,0.25043908,0.40642077,-0.37809405,-0.066780746,0.31126294,0.263586,0.06609774,-0.46960613,0.35415325,-0.012821887,0.18405126,0.1143,0.527728,0.120411634,0.6292138,-0.5594049,-0.15156834,-0.17409474,-0.23590916,-0.37261528,-0.22448714,0.58053976,0.00011802186,0.38454354,0.35776356,0.26877803,0.0639538,-0.248076,0.10583917
PHBV,-0.27836055,0.47501683,0.12779774,0.4729173,-0.2687721,-0.005486485,0.55685335,-0.20540278,-0.21097805,-0.31324983,0.24665608,0.2379273,0.6649927,0.20217699,-0.08179819,0.15835945,-0.09729942,0.57009184,0.114469655,-0.3121339,0.12052797,0.0035605193,0.3098173,0.13638246,0.0039867987,0.3210021,-0.2710703,-0.061472904,-0.07008369,0.27181035,-0.29554814,0.019594131,0.45735964,-0.007871453,-0.068057254,0.14768995,0.33099,-0.24812153,-0.06997981,0.24931484,0.19296072,-0.02497278,-0.42593408,0.25219446,0.040139645,0.14787908,-0.051877458,0.36454177,-0.020847496,0.35606632,-0.37115064,-0.16374706,-0.23345537,-0.3183712,-0.2881504,-0.16200458,0.4635277,0.1632113,0.27710515,0.20111251,0.16928887,-0.020930612,-0.21467997,-0.007493106
PBSeT,-0.029956225,-0.0020820138,-0.10324988,-0.23610114,0.19719303,-0.21288502,-0.3431501,0.021923294,0.24627255,0.013599282,-0.22182518,0.06406659,0.31638047,-0.18747462,0.32545513,0.053475533,0.23810767,0.18374003,-0.26706746,0.18175952,0.24193785,-0.36042672,-0.11474847,-0.21484832,-0.1658554,-0.090005025,0.3027016,0.05153122,-0.05102298,0.11551631,-0.027337704,0.16086954,0.11024682,0.03740123,-0.036051817,-0.043737065,-0.35446876,-0.0042179404,0.109705195,-0.06638536,-0.20653306,0.27378455,0.12726147,0.23885109,0.12907796,0.3253175,0.35550523,0.170235,-0.07793297,0.16378695,0.041347597,0.25293967,0.4114698,0.18546508,-0.025137734,0.07253526,0.023389664,0.21112014,-0.028397584,0.06606559,0.21471289,0.22870544,0.46115127,0.32728165
PET,-0.30823198,0.5252366,0.12861499,0.31106943,0.14615023,-0.3732093,0.09965896,-0.100251146,0.24516347,-0.1339765,-0.31662303,-0.20227027,0.81395227,0.05392948,0.33565998,0.21357524,0.22536191,0.666648,-0.027371759,0.11965913,0.60382175,-0.5662833,0.035613477,-0.43034524,-0.6853137,0.21155158,-0.08335328,-0.1696245,-0.24989541,0.5207051,-0.029110853,0.18466304,0.5904939,-0.13226171,-0.30940536,0.3401327,-0.011874676,-0.5020965,-0.23170713,0.093193054,-0.01624516,0.5113158,0.05211157,0.44977504,0.21631864,0.5857934,0.49560487,0.20679778,-0.13234288,0.6591616,-0.60877377,0.23408699,0.3361564,-0.18942706,-0.2562453,-0.2102832,0.3222852,0.030572694,0.22949292,0.2568754,0.35870358,0.15685448,0.084155954,0.28554773
PHBVH,-0.29112095,0.49658304,0.14519309,0.49190232,-0.28805083,-0.037418146,0.54853344,-0.21561328,-0.2111679,-0.30261824,0.2206896,0.22548781,0.6795769,0.21845634,-0.038752697,0.13996361,-0.10128712,0.60548854,0.12182687,-0.29739186,0.118430644,-0.026891656,0.29035237,0.11113175,-0.023654671,0.34897116,-0.256481,-0.06725071,-0.10211712,0.31797263,-0.2997397,0.05526625,0.49782953,-0.037147425,-0.10443164,0.16997133,0.3463904,-0.27318978,-0.07116806,0.263245,0.20886953,-0.010443822,-0.4375418,0.2713142,0.0281734,0.15261415,-0.022786072,0.39485043,0.009082273,0.40745252,-0.40892953,-0.16236667,-0.22604074,-0.30339035,-0.3065524,-0.17135455,0.48874864,0.1293909,0.29724535,0.23413393,0.18919724,-0.0024997063,-0.22033748,0.016180865
NR,-0.19661628,1.1439252,-0.072794355,0.82488835,0.21880478,-1.1562805,0.23265903,-0.16611277,0.8414246,-0.31592992,-0.7407573,-0.96376497,1.0794725,-0.050807048,0.63375145,0.35900512,0.5281439,1.0890608,0.14177813,0.6216328,1.1893877,-1.1379653,-0.18789464,-0.9190761,-1.5690514,0.28069198,-0.3750276,-0.53530306,-0.69469506,1.3628281,0.60972846,0.40059423,1.317989,-0.53319216,-0.99742085,0.8097913,-0.08277622,-0.97460634,-0.6244951,-0.034971114,-0.28895083,1.1568595,0.6285418,0.61044705,0.1571251,1.0588483,1.152898,0.23488148,-0.6365205,1.4390999,-1.3182995,0.41609246,0.5280287,-0.44254303,-0.097021826,-0.6565652,0.67766607,-0.5118402,0.58806705,0.33806196,0.5550038,0.1840381,0.021936407,0.32262936
PBAT,-0.23783332,0.40344906,0.08325078,0.16437626,0.08545671,-0.39375052,-0.010454807,-0.13487953,0.24810964,-0.12087161,-0.23614313,-0.05340213,0.7071669,-0.02039947,0.34396818,0.08123839,0.23901114,0.5694665,-0.11178577,0.15183575,0.41391414,-0.4597453,0.011158905,-0.3311606,-0.41165692,0.10866626,0.088076755,-0.0579467,-0.23295622,0.3989657,-0.0003769305,0.19219911,0.5181923,-0.007995796,-0.32283038,0.14364249,-0.077555776,-0.34657684,-0.045929387,0.04106289,-0.093583055,0.41901463,0.032566886,0.43064418,0.1393653,0.50331676,0.48462054,0.28889495,-0.059231687,0.6077611,-0.39348605,0.13781653,0.2791458,-0.023317574,-0.15037477,-0.19136782,0.249917,0.07393844,0.17289492,0.22612163,0.2996039,0.1649821,0.22606848,0.2884039
PEG,-0.28998682,0.68872726,0.6157238,0.50703794,-0.84094334,0.7506086,1.2093031,0.2435051,-0.86488944,0.028236054,-0.013441335,0.89674443,1.2939636,0.49126753,0.06791565,-0.12621132,-0.69534266,0.4773131,-0.18596025,-0.99004745,-0.32167688,0.038794328,0.60766464,0.44097394,0.07842677,0.71311486,0.19078834,-0.29086837,-0.33476838,0.8104738,-0.84320325,0.74086833,0.23145121,-0.2152921,0.89610356,0.18649453,0.9487391,-0.09521996,-0.090190716,0.57905143,1.0861261,-0.55659765,-1.6850091,0.6822671,0.35807103,-0.035061464,-0.74581224,0.92420995,0.57275313,0.3509653,-0.6821373,0.077579424,-0.19691065,-0.6129348,-0.9044707,-0.15579382,0.19330002,0.34660512,0.5352324,0.26521072,0.18263462,-0.53998196,-0.21692726,-0.028412154
PEF,-0.37569076,0.37238008,0.08457356,0.31799442,0.18283406,-0.63573474,-0.21244057,-0.16642605,0.24538766,0.054702856,-0.51106054,-0.33047834,0.701724,0.031357426,0.5978408,0.1701367,0.18883848,0.66243386,-0.037118778,0.110655464,0.62582827,-0.8105422,-0.2916718,-0.57159996,-0.80836856,0.22676225,-0.0056259898,-0.1998847,-0.40658808,0.8151594,-0.14011139,0.4329329,0.5882906,-0.34217972,-0.29711148,0.44357097,-0.16113167,-0.5595807,-0.2088378,0.0238118,0.0076845745,0.72821766,0.15745571,0.580656,0.3233661,0.51660347,0.68145597,0.27288535,-0.03255799,0.8719123,-0.65157676,0.23789921,0.6016597,-0.16336872,-0.3414434,-0.012397117,0.5307252,0.030458663,0.26298463,0.43553936,0.51071084,0.29684004,0.20482293,0.54288375
PHV,-0.21507289,0.3725944,0.044746857,0.38063124,-0.17099912,0.14202338,0.5861773,-0.15830615,-0.19991177,-0.36177933,0.35743535,0.2938105,0.59345895,0.12364142,-0.2837574,0.24067655,-0.07201681,0.40058994,0.07126542,-0.36788633,0.13048881,0.14432026,0.3983837,0.252649,0.13325152,0.17896958,-0.3333317,-0.03009858,0.08406505,0.05469026,-0.27070376,-0.15325995,0.26264107,0.13066672,0.10011594,0.037842456,0.25313786,-0.13448009,-0.06691675,0.18068974,0.11046086,-0.08665472,-0.36608112,0.1661967,0.09523258,0.13339213,-0.17979483,0.21868244,-0.16057819,0.113712884,-0.19351119,-0.16513197,-0.26473442,-0.38708052,-0.19724666,-0.11479099,0.33999652,0.3171543,0.17512609,0.044777296,0.07620999,-0.10295893,-0.1762277,-0.11883837
PES,-0.3621285,0.71582454,0.33120146,0.5653214,-0.05126839,-0.35490337,0.38107303,-0.22992791,0.106467344,-0.2384662,-0.24210314,-0.027282482,0.8916369,0.22670822,0.28599504,0.16761462,0.12929608,0.89360046,0.018971281,-0.007919704,0.4703334,-0.4590398,0.2204541,-0.33266142,-0.45531428,0.33010748,-0.1015103,-0.19443677,-0.33405685,0.616178,-0.12767603,0.21440849,0.7542466,-0.008598774,-0.46525338,0.3515638,0.31149232,-0.5256047,-0.17132019,0.19711323,0.1717269,0.3615516,-0.19652864,0.5744032,0.14104524,0.48992518,0.46729356,0.38608757,-0.0020784067,0.77596545,-0.7407947,-0.01067886,0.12620623,-0.19151933,-0.31518108,-0.4047518,0.39966804,0.0846101,0.30823123,0.38806415,0.37139502,0.10533366,-0.06701044,0.22990416
PHB,-0.33816797,0.59696794,0.22672589,0.5361753,-0.3308226,-0.17547117,0.5077105,-0.24706826,-0.18378305,-0.2610902,0.10280864,0.16877584,0.7537205,0.25871336,0.14514166,0.07574661,-0.0951763,0.7458709,0.14200655,-0.22107865,0.12615764,-0.17485528,0.20347615,0.0041849297,-0.16700324,0.45119083,-0.18749015,-0.09379313,-0.23717533,0.49753144,-0.28408596,0.20586333,0.6595391,-0.13728729,-0.26618207,0.24444106,0.39241824,-0.3715018,-0.06891757,0.2984709,0.25032374,0.06750893,-0.45882347,0.34982175,-0.00933087,0.19198133,0.113960825,0.51737267,0.108139075,0.62060636,-0.54695654,-0.14860578,-0.1741201,-0.24027625,-0.36135557,-0.21881644,0.57572526,0.0031400835,0.37771702,0.34767732,0.2612224,0.059358895,-0.24084604,0.0985364
Nylon,-0.29928544,0.91077846,0.38867766,0.014895891,-0.023250304,-0.0067573846,0.43303123,0.4417716,0.29223162,-0.07246937,0.25780484,-0.5169669,1.0091335,-0.50991863,0.5840747,0.27648196,0.35899633,0.44775757,0.45103616,0.2239557,0.4089724,-0.4177864,-0.17084529,-0.24237499,-1.3054254,0.4392602,-0.30373135,0.08338308,-0.13679232,0.66729665,0.6544337,0.39445603,0.5729855,-0.46654263,-0.38962615,0.4474906,-0.053134277,-0.6655024,-0.22986467,0.13990143,-0.12710366,0.3164284,0.33446625,-0.58676445,-0.46805838,0.51320326,-0.05533085,0.275792,-0.27669907,0.7048382,-0.60839504,0.4160819,-0.057856545,-0.26979512,-0.3338526,-0.3685208,0.5428456,-0.62749416,0.45641926,0.078577034,-0.054890797,-0.2796572,-0.6291324,-0.22244297
P3HP,-0.4434577,0.8140265,0.39068314,0.6070887,-0.35077527,-0.528375,0.38581714,-0.32389653,-0.041205645,-0.17069635,-0.19634515,-0.015993396,0.9445707,0.30910936,0.5401794,-0.054319784,0.02725327,1.0409846,0.14686924,0.020601269,0.20156805,-0.5375148,-0.002598502,-0.30710667,-0.51252127,0.5515999,0.0025389069,-0.13595636,-0.53292686,0.888075,-0.1929584,0.5288181,1.019278,-0.23942515,-0.70884526,0.4074303,0.4518546,-0.6054749,-0.08154835,0.3190082,0.2961144,0.3072398,-0.41731322,0.5591459,-0.049232714,0.3556433,0.46982118,0.7450245,0.26767588,1.123139,-0.8513524,-0.1070402,0.004659329,-0.07192396,-0.4316623,-0.41143224,0.6741117,-0.26542917,0.49571833,0.56434345,0.4326095,0.15495907,-0.23071219,0.29933503
PE,-0.39728707,0.50838333,0.49812347,0.605557,0.02320041,-0.23903571,0.29731867,0.17648219,0.120937295,-0.021534782,-0.20221174,-0.22563694,0.75747085,0.14558117,0.45280483,0.31522343,0.058371153,0.66877854,0.046362687,-0.22674192,0.7658871,-0.6241677,0.10331325,-0.41405484,-0.92257905,0.42049623,-0.11248147,-0.28938317,-0.3847328,0.92740494,-0.30567715,0.43695828,0.4796027,-0.393286,0.08029785,0.4383702,0.18453895,-0.6375453,-0.27881113,0.26960403,0.29584777,0.6105305,-0.085029915,0.37365243,0.25687695,0.38564974,0.22560124,0.21404548,0.00055871473,0.5895708,-0.83849066,0.2534423,0.3975948,-0.31412175,-0.57291406,-0.14823008,0.4448135,0.25098893,0.3367602,0.3800843,0.4547151,0.081948094,-0.1375198,0.32297286
PBSA,-0.2898328,0.513712,0.13326868,0.30263257,0.10039718,-0.36609632,0.1247723,-0.14009541,0.23814215,-0.14937553,-0.2692491,-0.06829008,0.79073113,0.048265383,0.31559488,0.16137218,0.20609488,0.6665689,-0.10195863,0.091920145,0.53785926,-0.4780012,0.11430516,-0.38746095,-0.53349394,0.15029173,-0.000354219,-0.14093514,-0.24680121,0.44421953,-0.07137737,0.13673794,0.5452507,-0.03557505,-0.28567976,0.22773716,0.02961042,-0.41421944,-0.13022198,0.10977598,-0.035043083,0.43651408,-0.024122568,0.50453377,0.1969691,0.53318846,0.47764724,0.25476247,-0.08625536,0.6254581,-0.53664154,0.14480728,0.2639902,-0.13189806,-0.2098104,-0.22836384,0.25363275,0.13057148,0.19672433,0.25257748,0.34833238,0.160663,0.1583238,0.28443468
PVA,-0.81616884,0.4915202,1.232389,1.1139845,-0.6180256,0.49116066,0.9106517,-0.30113468,-0.7697825,-0.073565185,0.4415611,0.5762075,0.48585352,0.7008502,0.17819434,0.06344337,-0.6341042,0.81439006,0.28033894,-0.9378357,0.14610496,-0.08488927,0.8276411,-0.040677417,0.16642678,0.92954135,0.0006367164,-0.07353381,-0.32867512,0.7972123,-0.8086478,0.3182329,0.29210448,-0.064694054,-0.12630412,0.26119146,1.0623899,-0.3779237,-0.12818825,0.39749074,0.97369915,-0.1996908,-1.0009949,0.11658708,0.2089427,-0.44716576,-0.33825597,0.415496,0.737568,0.17893137,-0.8644368,-0.6431115,-0.25958863,-0.30970162,-0.97810745,-0.4004303,0.5563066,0.5016404,0.25910386,0.74553484,0.42345494,0.06713531,-0.79379284,0.009251238
PBS,-0.28575385,0.4745023,0.13615203,0.26390317,0.087995075,-0.39775982,0.054788135,-0.13902763,0.24714488,-0.1303145,-0.29114103,-0.07834145,0.7658087,0.047054023,0.36075363,0.13909027,0.20093669,0.662158,-0.10440473,0.12517114,0.5104933,-0.50178605,0.07214687,-0.41718915,-0.5268772,0.17213754,0.02945999,-0.14951652,-0.24036492,0.47488424,-0.055705056,0.1731394,0.5450808,-0.04402833,-0.30578926,0.23159365,-0.006221348,-0.41261265,-0.1218628,0.10003962,-0.036788967,0.44528446,0.013928109,0.4904987,0.18425974,0.52989596,0.5074905,0.2579019,-0.06386712,0.61856455,-0.5191885,0.15411265,0.29904062,-0.09162544,-0.19981928,-0.22399688,0.26971143,0.10023019,0.18558489,0.25932616,0.34737772,0.19047083,0.1894572,0.32596257
PS,-0.12018311,1.8969105,-0.15498006,1.152797,-0.04617835,-1.4603018,0.8194845,-0.5513327,0.69514865,-0.84776276,-0.24382935,-1.2150288,1.6842076,0.26267803,0.51227415,0.72319466,0.2679373,1.3783907,0.4556967,0.7975589,1.2750354,-0.8037318,0.66739523,-1.3330512,-1.717602,0.69270355,-1.3055366,-0.9116053,-0.41050327,1.6275111,0.9056256,-0.49461314,1.5178822,-0.7613736,-1.4089788,0.8635953,0.07813803,-1.4957933,-0.99386656,-0.05160504,-0.29757667,1.3461246,0.70550185,0.10676267,0.3364727,1.0678409,0.6774941,-0.0035354474,-0.8572608,1.2312374,-1.4854847,0.5382826,-0.3433463,-0.79121846,-0.2291778,-1.3486177,0.7951155,-0.8510361,0.42481127,0.044344928,0.19314472,0.35497144,-0.23566146,-0.24272119
PA,-0.29928544,0.91077846,0.38867766,0.014895891,-0.023250304,-0.0067573846,0.43303123,0.4417716,0.29223162,-0.07246937,0.25780484,-0.5169669,1.0091335,-0.50991863,0.5840747,0.27648196,0.35899633,0.44775757,0.45103616,0.2239557,0.4089724,-0.4177864,-0.17084529,-0.24237499,-1.3054254,0.4392602,-0.30373135,0.08338308,-0.13679232,0.66729665,0.6544337,0.39445603,0.5729855,-0.46654263,-0.38962615,0.4474906,-0.053134277,-0.6655024,-0.22986467,0.13990143,-0.12710366,0.3164284,0.33446625,-0.58676445,-0.46805838,0.51320326,-0.05533085,0.275792,-0.27669907,0.7048382,-0.60839504,0.4160819,-0.057856545,-0.26979512,-0.3338526,-0.3685208,0.5428456,-0.62749416,0.45641926,0.078577034,-0.054890797,-0.2796572,-0.6291324,-0.22244297
