,Impranil,P(3HB-co-3MP),ECOFLEX,PCL,PLA,O-PVA,PMCL,PHO,PHBH,LDPE,PPL,PEA,P4HB,PHBV,PBSeT,PET,PHBVH,NR,PBAT,PEG,PEF,PHV,PES,PHB,Nylon,P3HP,PE,PBSA,PVA,PBS,PS,PA,PHPV,PU
Impranil,1.0,0.4236431,0.44789314,0.7681244,0.4420867,-0.009158087,0.6656976,0.7327534,0.42317703,0.4944259,0.4420867,0.29230723,0.372846,0.41091514,0.1413642,0.6009165,0.40177712,0.62728274,0.5189794,0.028362123,0.40925166,0.4232094,0.5327465,0.38259837,0.7089913,0.36695877,0.4944259,0.5629312,0.015976079,0.5305685,0.6934922,0.7089913,0.3820336,0.8310916
P(3HB-co-3MP),0.4236431,1.0,0.061554514,0.7401362,0.43177134,0.66827935,0.9213348,0.46592212,0.99999714,0.36666405,0.43177134,0.54796207,0.7184042,0.91105527,-0.33855057,0.2593557,0.8770158,0.10043738,0.18975721,0.68863136,0.058681455,0.9999982,0.49125263,0.7246853,0.19678994,0.4267384,0.36666405,0.30840608,0.69460887,0.25003284,0.29435802,0.19678994,0.7243576,0.34975863
ECOFLEX,0.44789314,0.061554514,1.0,0.6283945,0.7513752,-0.015386473,0.38751498,0.7564042,0.062310185,0.7053965,0.7513752,0.5383175,0.50413066,0.31331134,0.81697583,0.902101,0.3554796,0.8288482,0.9735112,0.005771119,0.898261,0.062173534,0.79174113,0.5061921,0.47180447,0.7061677,0.7053965,0.9267478,0.03000239,0.94251555,0.6452279,0.47180447,0.5060794,0.64638376
PCL,0.7681244,0.7401362,0.6283945,1.0,0.78723294,0.4397054,0.9418417,0.9248047,0.7405044,0.7241328,0.78723294,0.7230779,0.80760103,0.8260427,0.15484303,0.7885202,0.8270782,0.6932324,0.7371389,0.41187537,0.598653,0.74041647,0.8771919,0.8144811,0.5666827,0.7441803,0.7241328,0.81293905,0.47753558,0.77434826,0.7519028,0.5666827,0.8141029,0.78442687
PLA,0.4420867,0.43177134,0.7513752,0.78723294,1.0,0.5006594,0.6466839,0.8762676,0.43317467,0.82061476,0.99999994,0.8972066,0.91303885,0.7450814,0.28200954,0.8717025,0.78918135,0.80930483,0.8648383,0.4183391,0.81572443,0.4329289,0.96136016,0.91283494,0.63942283,0.99246985,0.82061476,0.88459444,0.5308888,0.88020253,0.75145996,0.63942283,0.91284156,0.7637463
O-PVA,-0.009158087,0.66827935,-0.015386473,0.4397054,0.5006594,1.0,0.5620455,0.325633,0.6697306,0.47927457,0.5006594,0.77465224,0.74625087,0.77412415,-0.39575174,0.22189605,0.777624,0.05098519,0.14871255,0.79778373,0.1464178,0.6694661,0.5052874,0.74102813,0.15865462,0.570723,0.47927457,0.256945,0.99525607,0.22695366,0.14768177,0.15865462,0.7413374,0.2173188
PMCL,0.6656976,0.9213348,0.38751498,0.9418417,0.6466839,0.5620455,1.0,0.7569365,0.921472,0.58589643,0.6466839,0.6648321,0.8007797,0.9144901,-0.07429374,0.5744667,0.8962502,0.44209442,0.51008976,0.56043714,0.36151445,0.92143434,0.73383504,0.8082473,0.41891074,0.6166522,0.58589643,0.61256003,0.5972929,0.56059986,0.5752526,0.41891074,0.8078451,0.62206787
PHO,0.7327534,0.46592212,0.7564042,0.9248047,0.8762676,0.325633,0.7569365,1.0,0.46662897,0.76235664,0.8762676,0.736903,0.76076037,0.66392684,0.28365678,0.89000964,0.6889216,0.8676674,0.856794,0.21823211,0.75091755,0.46647263,0.9322115,0.765387,0.65965647,0.8313983,0.76235664,0.896657,0.35479814,0.8779929,0.8599087,0.65965647,0.76512,0.8462034
PHBH,0.42317703,0.99999714,0.062310185,0.7405044,0.43317467,0.6697306,0.921472,0.46662897,1.0,0.3680944,0.43317467,0.5497298,0.7197368,0.9118519,-0.33832243,0.26036876,0.8779423,0.10126803,0.19073606,0.6897813,0.059866026,0.9999999,0.4925296,0.72598785,0.1975496,0.42834473,0.3680944,0.30942824,0.696066,0.25109965,0.29488584,0.1975496,0.7256618,0.35044852
LDPE,0.4944259,0.36666405,0.7053965,0.7241328,0.82061476,0.47927457,0.58589643,0.76235664,0.3680944,1.0,0.82061476,0.8766257,0.76432014,0.6235411,0.35073638,0.9060904,0.65931284,0.80599886,0.81953543,0.43646607,0.87735105,0.36783051,0.89037794,0.7622988,0.6579457,0.8297202,0.99999994,0.8842724,0.5283595,0.87589055,0.7194189,0.6579457,0.76239467,0.79548407
