Name,SMILES
PHBH,[H]OC(=O)C([H])([H])C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(O[H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
PHPV,[H]OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
PMCL,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H]
