,Impranil,P(3HB-co-3MP),ECOFLEX,PCL,PLA,O-PVA,PMCL,PHO,PHBH,LDPE,PPL,PEA,P4HB,PHBV,PBSeT,PET,PHBVH,NR,PBAT,PEG,PEF,PHV,PES,PHB,Nylon,P3HP,PE,PBSA,PVA,PBS,PS,PA,PHPV,PU
Impranil,0.0,0.57772195,0.63861096,0.39035046,0.5753795,0.7699519,0.8519776,0.6197801,0.5172851,0.7540846,0.5753795,1.0667183,1.1204102,0.5657116,0.5519306,0.5947895,0.68909466,0.5155848,0.5812402,1.2356957,0.74573696,0.557701,0.74572873,0.5862789,0.30761325,1.034444,0.7540846,0.5918082,0.77193713,0.61537457,0.6451803,0.30761325,1.0500144,0.24573362
P(3HB-co-3MP),0.57772195,0.0,0.4602592,0.2350663,0.3607782,0.71634424,0.82355726,0.37857318,0.3522936,0.315463,0.3607782,0.4377957,0.5079522,0.21704704,0.53381085,0.42798615,0.60563505,0.21904457,0.40817684,0.8695804,0.55403864,0.0069675446,0.2704743,0.15278643,0.580305,0.37889743,0.315463,0.37840414,0.7185084,0.36174303,0.21678704,0.580305,0.81293243,0.46588713
ECOFLEX,0.63861096,0.4602592,0.0,0.19215763,0.20462126,0.64743257,0.885959,0.5104561,0.46030855,0.5300871,0.20462126,0.7857668,0.88339984,0.3975736,0.23667067,0.19339001,0.5637584,0.33211356,0.11702627,0.7906348,0.28336883,0.48568612,0.3335498,0.22169298,0.56036973,0.7453352,0.5300871,0.055840254,0.6483134,0.098345816,0.34723878,0.56036973,0.9885841,0.36385876
PCL,0.39035046,0.2350663,0.19215763,0.0,0.06988996,0.39345002,0.6765326,0.20761323,0.14491868,0.42254543,0.06988996,0.6087893,0.7125412,0.089583695,0.29964346,0.23109102,0.2755304,0.18742585,0.17705792,0.71272016,0.35388523,0.23268706,0.22166348,0.06606865,0.4027449,0.55059314,0.42254543,0.12434924,0.3947289,0.16036433,0.2848348,0.4027449,0.6401398,0.22373134
PLA,0.5753795,0.3607782,0.20462126,0.06988996,0.0,0.2887054,0.89263576,0.17989755,0.17900223,0.41772807,0.0,0.58410156,0.7206117,0.1440543,0.30475837,0.18671113,0.26348007,0.1579637,0.1475119,0.5454161,0.2346242,0.36839134,0.19580948,0.08615565,0.4264952,0.52866125,0.41772807,0.10965073,0.2888496,0.13261944,0.2548148,0.4264952,0.64142513,0.25681996
O-PVA,0.7699519,0.71634424,0.64743257,0.39345002,0.2887054,0.0,0.9507753,0.39809877,0.32754952,0.6407838,0.2887054,0.6716485,0.7846993,0.35302603,0.47733492,0.5253172,0.29683948,0.43589514,0.4827544,0.32955086,0.5195584,0.70975554,0.47293168,0.41595703,0.60100317,0.63024557,0.6407838,0.49455273,7.033348e-05,0.5166805,0.61051726,0.60100317,0.51186854,0.5136024
PMCL,0.8519776,0.82355726,0.885959,0.6765326,0.89263576,0.9507753,0.0,0.6755301,0.69000775,1.1007452,0.89263576,0.83302927,0.7378961,0.63048786,1.076202,1.1134831,0.61708325,1.1820828,1.0479275,0.9594986,1.2530078,0.7935745,0.86818695,0.8110864,1.1933273,0.84652877,1.1007452,0.94505334,0.95151246,1.0172276,1.1986583,1.1933273,0.43966734,1.081993
PHO,0.6197801,0.37857318,0.5104561,0.20761323,0.17989755,0.39809877,0.6755301,0.0,0.24886328,0.5699501,0.17989755,0.49536288,0.57969105,0.19264138,0.5458193,0.5004393,0.32929248,0.37321454,0.44737232,0.53143966,0.57133234,0.3558548,0.25961393,0.22474039,0.6819624,0.4599446,0.5699501,0.41570503,0.39912367,0.4351012,0.4415086,0.6819624,0.5424504,0.5263624
PHBH,0.5172851,0.3522936,0.46030855,0.14491868,0.17900223,0.32754952,0.69000775,0.24886328,0.0,0.7518743,0.17900223,0.84015787,0.9463713,0.03785312,0.63470846,0.5756696,0.062268376,0.35207725,0.5119634,0.8245881,0.6631126,0.34578288,0.5129585,0.26583707,0.591059,0.7621626,0.7518743,0.41439337,0.32905942,0.481391,0.52235645,0.591059,0.37028307,0.45518076
LDPE,0.7540846,0.315463,0.5300871,0.42254543,0.41772807,0.6407838,1.1007452,0.5699501,0.7518743,0.0,0.41772807,0.18700123,0.2643509,0.5723599,0.3393221,0.1761033,0.9522919,0.20586175,0.2318359,0.4950127,0.19915646,0.32009858,0.1270011,0.21997052,0.45519733,0.17408639,5.9604645e-08,0.31560802,0.6401788,0.22647035,0.15672868,0.45519733,1.082276,0.37114358
