,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
Impranil,0.0059203682,0.25111073,-0.15933612,-0.18243952,0.15985942,-0.31507203,0.3582759,0.28887743,-0.15229048,0.40894395,-0.3396297,-0.12072093,-0.20689717,0.2631781,-0.060217198,0.11846147,-1.2177018,0.19615676,0.56148404,-0.01900523,-0.21240379,-0.06305365,-0.48987657,0.09832641,-0.16211143,0.27428094,0.07951399,0.18745698,0.5418013,-0.026339618,-0.057919696,0.5319311,0.33817166,-0.50633377,-0.64057577,0.05782326,-0.06631798,-0.09793794,-0.26767227,0.045083042,-0.048860393,-0.0522877,0.06399396,0.30594,0.3458296,0.19151647,-0.3169991,0.031431787,0.052346434,0.323127,-0.034881238,-0.36101234,0.51551753,-0.4653226,-0.020997806,-0.3748719,-0.07128943,0.20791899,-0.27708793,0.359513,-0.07249906,-0.41781008,-0.34488514,0.41872016
P(3HB-co-3MP),0.10744259,-0.09563241,0.17592908,0.7998258,-0.54089683,-0.11589579,0.28374106,0.10487095,-1.0430101,0.7670833,-0.3147404,0.5853907,-0.3791874,0.1454479,-0.42030287,0.32564688,-0.4648446,0.60664797,0.5227307,0.028460136,-0.2612673,0.28763402,0.19194375,0.7750213,0.3811438,0.23235503,0.49300247,-0.020665623,0.13256772,0.23046301,-0.97136796,0.4098684,0.5953755,0.17662746,-0.7234493,0.37814987,0.4727012,0.1959486,-0.61689645,-0.42993295,-0.33089796,-0.56512,-0.5654498,-0.21691051,0.46663713,0.70414716,0.4154251,-0.666538,-0.25085396,-0.041019853,0.16419782,-0.10352007,-0.16303699,-0.6513119,-0.12248327,-0.18958306,-0.42906424,-0.14275959,-0.30009574,0.7688514,0.42549464,-0.46547475,-0.6892082,0.47283325
ECOFLEX,0.0872137,-0.027604504,0.4941459,-0.16630739,-0.042230226,0.008261636,0.3712004,0.5304909,-0.6937625,0.36851662,0.28380919,0.2143682,0.12793475,-0.25970188,0.2064371,0.17182367,-0.14599708,0.32428384,0.22912942,0.31807724,0.08581946,-0.0712303,0.38570103,0.03993459,-0.19373035,0.033426717,0.10144111,0.061505046,0.26564252,-0.23722254,-0.09882945,0.50953364,0.5132048,0.39408898,-0.40324426,0.27584085,0.4410117,-0.09565215,-0.5274996,0.05463082,-0.4994033,-0.37565494,0.21261905,0.5130241,0.28702018,0.2965091,0.06846987,-0.10752184,-0.044877753,0.42108738,-0.32577485,-0.07508977,-0.5128728,-0.38091445,-0.10250985,-0.24531068,0.050985716,-0.43101344,-0.15927579,0.59551936,-0.045383055,-0.3157269,-0.12458838,0.29308808
PCL,0.004623916,0.09360569,0.17563543,0.009588968,-0.10335086,-0.22813278,0.3645843,0.15477483,-0.43864843,0.39261493,0.030280072,0.18829967,0.13661514,0.043864187,-0.052153666,0.3229427,-0.30210942,0.3283258,0.30518395,0.23912062,-0.028908625,-0.07382528,-0.021972764,0.17840937,0.09553412,0.15130365,0.11243641,0.13147989,0.19443454,-0.06613167,-0.16602287,0.39463675,0.29626384,0.15912794,-0.31380424,0.19807409,0.11365178,0.0535748,-0.34933674,-0.10520857,-0.12602364,-0.10431961,-0.06720431,0.14990938,0.24405251,0.27837914,0.01972008,-0.097924866,-0.12486402,0.21130456,-0.088446185,-0.033829276,-0.12104305,-0.262264,-0.021135971,-0.17178632,0.062206138,-0.24025819,-0.236614,0.43855378,0.19695911,-0.36523765,-0.14327243,0.22722358
PLA,0.0032986253,0.2651718,0.42571655,0.033865266,-0.056988783,-0.37060216,0.62961763,0.16126238,-0.8204976,0.5523144,0.16300628,0.27328733,0.24764596,-0.049087595,0.021243207,0.6438322,-0.13340013,0.52260303,0.4016493,0.34687808,0.0025454327,-0.36684674,0.04082711,0.28500077,0.19270946,0.21991473,0.26974872,0.37186313,0.28863394,0.02241312,-0.13312207,0.65282345,0.44635504,0.5015785,-0.44549242,0.21170352,0.21031542,-0.041518684,-0.3370815,-0.20457928,-0.19243969,-0.05880397,-0.11181465,0.3198452,0.43322164,0.44675934,-0.075632066,-0.12778929,-0.28180227,0.1938965,-0.1819391,0.060571596,-0.3686683,-0.29248205,0.016977314,-0.1528121,0.53739387,-0.529933,-0.34121862,0.64449507,0.21146235,-0.3175833,-0.23110768,0.24004476
O-PVA,0.3567724,0.41159406,0.5493141,-0.72526616,-0.08652035,-1.5021077,1.3546923,-0.3533745,-0.9387998,1.4107802,-0.12247782,0.27944335,1.5684774,0.32043374,0.012823645,1.891624,-0.162166,1.2013205,0.936103,-0.2217826,-0.30230674,-0.8273266,-0.1059127,1.2408454,0.6776143,0.7539692,-0.62472063,0.8837802,0.115586214,-0.007894639,0.065893486,0.55602825,0.21182963,0.83569765,0.23746324,0.42673686,-0.53132546,-0.26663825,0.3842083,-1.0388592,0.22260746,1.2190982,-1.037833,0.4775217,0.8752804,0.31051812,-0.79977626,0.6454712,-0.1354054,-0.066634305,-0.16898157,0.23988236,-1.4446298,-0.3877195,1.0191551,-0.8986511,1.1312411,-1.2493129,-0.83752173,1.5173407,0.60245323,-0.5800434,-0.28687942,-0.55629116
PMCL,-0.07964759,-0.0692705,-0.09462525,0.002514873,-0.1260843,-0.08809182,0.08075102,0.008338685,0.047184687,0.0059160413,0.053971723,0.0569052,0.14998452,-0.022337893,-0.12592292,0.1258166,-0.11973687,0.079248644,0.10408256,0.1470037,0.04146945,0.083401635,-0.09757981,-0.05431676,0.07995014,0.091897115,-0.07832781,-0.1126826,-0.03331712,-0.2411036,0.014188854,0.02541682,0.0008894172,-0.04456674,0.05902379,0.14009234,-0.059604242,0.33151945,-0.32459706,0.05724917,0.025671216,0.021959819,0.049521476,-0.1516312,-0.14130543,-0.09511732,0.064299695,0.028220061,-0.10136832,0.20970961,0.026330411,0.064724706,0.08482157,0.032442003,-0.1677338,-0.005065321,-0.21797036,-0.036354404,-0.19991225,0.10243705,0.32889262,-0.28514564,0.18845926,0.08570319
PHO,0.15138182,0.27841255,0.092575856,0.28965917,-0.5582978,-0.63541883,0.4895715,0.049781635,-0.48933363,0.31761175,-0.16385038,0.28253388,0.13820787,-0.20517032,-0.23256925,0.66775626,-0.2167316,0.4826561,0.5919706,0.359839,-0.27570593,-0.37240574,-0.34027874,0.5911508,0.2942399,0.2516363,0.5505728,0.41402793,0.36372155,-0.087123364,-0.03563633,0.53599006,0.44793135,0.66143095,-0.48924822,0.28206837,-0.049037717,0.36585727,-0.5244022,-0.43976286,0.015703287,0.044819053,0.046986356,-0.18450579,0.29789144,0.20700188,-0.016816394,-0.040067095,-0.57351375,0.05841731,0.010576863,0.24477531,-0.10023707,-0.085863635,-0.038480233,0.28736234,0.50280297,-0.31671405,-0.65229064,0.74939203,0.33085266,-0.2758402,-0.14938414,0.19641984
PHBH,-0.08181926,0.3434985,0.22641705,-0.021280592,-0.32600638,-0.304752,0.5058552,0.07765628,-0.40317836,0.79405224,-0.104561195,0.46884418,0.51741457,0.54079133,-0.19475715,0.5596055,-0.34790778,0.781089,0.67486453,0.4961613,-0.023411818,-0.47418433,-0.29158852,0.28469387,0.6458125,0.37851718,-0.0007417017,0.31947413,0.18214856,-0.074359685,-0.21720144,0.5349735,0.17452715,0.22872274,-0.33634222,-0.061219156,0.11243239,0.0040445225,-0.32027128,-0.18361442,-0.35559142,0.051825102,-0.38526052,-0.127866,0.28808248,0.44827458,-0.06275374,-0.5260633,-0.14155102,0.28873387,-0.05057801,-0.21482936,-0.08517768,-0.4157852,0.049550693,0.018173944,0.2196383,-0.5829619,-0.6467506,0.73610055,0.3436721,-0.49159664,-0.12160122,0.17077114
LDPE,-0.009261045,-0.16494983,0.2508365,0.37463892,0.13854797,-0.3423931,0.31522736,-0.2315601,-0.959967,0.3842797,0.19160654,0.06904632,-0.3606712,-0.14137733,-0.09579498,0.45566672,-0.16571647,0.1560748,0.016085403,-0.11061039,-0.06543086,0.44057915,0.37954447,0.41373602,-0.13971084,-0.1894395,0.59905535,0.020201402,0.11515097,0.37449402,-0.6530394,0.26012173,0.45256436,0.25064477,-0.30273443,0.43598172,0.13398986,0.08332446,-0.06629384,-0.3794722,0.2701871,-0.20478001,-0.2834339,0.37206626,0.40906382,0.46279746,0.1522563,0.26442564,-0.25954893,-0.17183147,0.061029352,0.117384724,-0.33680207,-0.15545805,0.0762336,-0.5749911,0.11045172,0.032333575,0.27428156,0.34749404,0.3464198,-0.18216947,-0.5061508,0.31904516
