,Impranil,P(3HB-co-3MP),ECOFLEX,PCL,PLA,O-PVA,PMCL,PHO,PHBH,LDPE,PPL,PEA,P4HB,PHBV,PBSeT,PET,PHBVH,NR,PBAT,PEG,PEF,PHV,PES,PHB,Nylon,P3HP,PE,PBSA,PVA,PBS,PS,PA,PHPV,PU
PEF,0.254263,0.44596133,0.7166312,0.64611477,0.7653758,0.4804416,-0.25300777,0.42866766,0.33688742,0.80084354,0.7653758,0.4691508,0.33850384,0.41963157,0.7844007,0.9671794,0.21805708,0.795412,0.92488265,0.4774557,1.0,0.4256433,0.77526075,0.7451994,0.5902481,0.4872638,0.80084354,0.87462276,0.48161325,0.9187993,0.78176475,0.5902481,-0.12949108,0.72220206
PHV,0.44229898,0.99303246,0.5143139,0.76731294,0.63160866,0.29024443,0.20642549,0.6441452,0.6542171,0.6799014,0.63160866,0.56302243,0.49549982,0.78849345,0.4597382,0.5542497,0.39936072,0.76543504,0.5741425,0.13557833,0.4256433,1.0,0.72645915,0.8393629,0.4061118,0.6200348,0.6799014,0.6021189,0.2880651,0.61787564,0.7627316,0.4061118,0.19804095,0.5237993
PES,0.2542713,0.7295257,0.6664502,0.7783365,0.8041905,0.5270683,0.13181303,0.74038607,0.48704144,0.8729989,0.8041905,0.8338487,0.7484834,0.6558469,0.7155158,0.8378411,0.3370095,0.81161153,0.8460126,0.6450815,0.77526075,0.72645915,1.0,0.9285567,0.481577,0.8537181,0.8729989,0.8182469,0.5274635,0.86058885,0.8439405,0.481577,0.15238073,0.62904567
PHB,0.41372108,0.84721357,0.778307,0.93393135,0.91384435,0.58404297,0.18891358,0.7752596,0.7341629,0.7800295,0.91384435,0.64806646,0.5425975,0.8570505,0.7151229,0.83962387,0.5747739,0.8902512,0.8699805,0.4595541,0.7451994,0.8393629,0.9285567,1.0,0.5717418,0.70067346,0.7800295,0.8914005,0.58346754,0.8972905,0.8612557,0.5717418,0.2913373,0.7317896
Nylon,0.69238675,0.419695,0.4396303,0.5972551,0.5735048,0.3989968,-0.19332735,0.31803763,0.40894097,0.54480267,0.5735048,0.20818688,0.1111123,0.41526866,0.5811699,0.6785577,0.27558455,0.701602,0.6436349,0.06558292,0.5902481,0.4061118,0.481577,0.5717418,1.0,0.2609769,0.54480267,0.58648694,0.39905676,0.61881334,0.6243787,0.99999994,-0.037373487,0.95359176
P3HP,-0.03444392,0.6211026,0.2546648,0.44940683,0.47133878,0.36975443,0.15347125,0.5400554,0.23783739,0.8259136,0.47133878,0.991278,0.9619041,0.45121303,0.3666132,0.5212013,0.13179931,0.57367814,0.49611688,0.69412184,0.4872638,0.6200348,0.8537181,0.70067346,0.2609769,1.0,0.8259136,0.4442077,0.37117723,0.5234085,0.67056054,0.2609769,0.2542974,0.3232693
PE,0.24591538,0.684537,0.46991286,0.57745457,0.58227193,0.3592162,-0.10074523,0.43004993,0.24812564,0.99999994,0.58227193,0.8129988,0.7356491,0.42764008,0.6606779,0.8238967,0.047708083,0.79413825,0.7681641,0.5049873,0.80084354,0.6799014,0.8729989,0.7800295,0.54480267,0.8259136,1.0,0.684392,0.35982117,0.77352965,0.8432713,0.54480267,-0.082276024,0.6288564
PBSA,0.40819183,0.62159586,0.94415975,0.87565076,0.89034927,0.50544727,0.054946683,0.584295,0.58560663,0.684392,0.89034927,0.4045357,0.2869161,0.66997224,0.8414978,0.943515,0.46066856,0.81692374,0.9782177,0.37425318,0.87462276,0.6021189,0.8182469,0.8914005,0.58648694,0.4442077,0.684392,1.0,0.5052117,0.9883323,0.78591025,0.58648694,0.052251,0.7696483
PVA,0.22806287,0.28149158,0.3516866,0.6052711,0.7111504,0.99992967,0.048487566,0.60087633,0.6709406,0.35982117,0.7111504,0.3298211,0.21678123,0.6455866,0.52087486,0.47513294,0.7025597,0.56342673,0.5170026,0.6725358,0.48161325,0.2880651,0.5274635,0.58346754,0.39905676,0.37117723,0.35982117,0.5052117,1.0,0.48320374,0.38919702,0.39905676,0.48901105,0.48627543
PBS,0.38462543,0.63825697,0.9016542,0.83963567,0.86738056,0.4833195,-0.017227687,0.5648988,0.518609,0.77352965,0.86738056,0.4885403,0.3699268,0.6222551,0.85133,0.97579616,0.37346008,0.8499926,0.9907962,0.4114958,0.9187993,0.61787564,0.86058885,0.8972905,0.61881334,0.5234085,0.77352965,0.9883323,0.48320374,1.0,0.8388574,0.61881334,-0.010695707,0.7850188
PS,0.35481972,0.78321296,0.6527612,0.7151652,0.7451852,0.3894827,-0.19865835,0.5584914,0.47764355,0.8432713,0.7451852,0.62312174,0.5066577,0.6042025,0.6436608,0.832019,0.267946,0.9348925,0.8129987,0.3783017,0.78176475,0.7627316,0.8439405,0.8612557,0.6243787,0.67056054,0.8432713,0.78591025,0.38919702,0.8388574,1.0,0.6243787,-0.0062481663,0.72009414
PA,0.69238675,0.419695,0.4396303,0.5972551,0.5735048,0.3989968,-0.19332735,0.31803763,0.40894097,0.54480267,0.5735048,0.20818688,0.1111123,0.41526866,0.5811699,0.6785577,0.27558455,0.701602,0.6436349,0.06558292,0.5902481,0.4061118,0.481577,0.5717418,0.99999994,0.2609769,0.54480267,0.58648694,0.39905676,0.61881334,0.6243787,1.0,-0.037373487,0.95359176
PHPV,-0.050014406,0.18706755,0.011415919,0.35986015,0.35857484,0.48813146,0.56033266,0.45754957,0.62971693,-0.082276024,0.35857484,0.1981284,0.1950577,0.6272373,-0.20030396,-0.10039621,0.79849154,0.07597376,-0.057429697,0.30643952,-0.12949108,0.19804095,0.15238073,0.2913373,-0.037373487,0.2542974,-0.082276024,0.052251,0.48901105,-0.010695707,-0.0062481663,-0.037373487,1.0,0.0040376903
PU,0.7542664,0.5341129,0.63614124,0.77626866,0.74318004,0.48639762,-0.08199301,0.47363755,0.54481924,0.6288564,0.74318004,0.27264646,0.1589153,0.56413907,0.716999,0.81910217,0.39372936,0.8076875,0.80433166,0.14948656,0.72220206,0.5237993,0.62904567,0.7317896,0.95359176,0.3232693,0.6288564,0.7696483,0.48627543,0.7850188,0.72009414,0.95359176,0.0040376903,1.0
